Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
Abhishek Sharma ,IND,152.7003328,19.03333333,22,171.7336661,6.940924216,3.590740291,0.865151515,-0.214236867,7.806075731,3.376503424
Rashid Khan ,AFG,67.25538847,525.4916667,86,592.7470551,0.782039401,-0.004036371,6.110368217,2.636536523,6.892407618,2.632500153
SR Watson ,AUS,218.1469185,143.2341423,58,361.3810608,3.761153766,1.73479316,2.469554178,0.657755403,6.230707945,2.392548563
Shakib Al Hasan ,BAN,237.1193385,421.3821598,112,658.5014984,2.117136951,0.77522443,3.762340713,1.36038442,5.879477664,2.13560885
PW Hasaranga ,SL,49.94655467,404.7333333,78,454.679888,0.640340444,-0.086742269,5.188888889,2.13571284,5.829229333,2.048970571
Shahid Afridi ,PAK,212.2727913,315.3544118,94,527.6272031,2.258221184,0.857571531,3.354834168,1.138904759,5.613055352,1.99647629
Abbas Afridi ,PAK,12.16872711,115.6392918,24,127.8080189,0.507030296,-0.164551844,4.818303825,1.934299991,5.325334121,1.769748147
JP Faulkner ,AUS,13.6693363,109.8835327,24,123.552869,0.569555679,-0.128057447,4.578480529,1.803956116,5.148036208,1.675898669
JH Kallis ,RSA,83.38855314,35.1,24,118.4885531,3.474523048,1.567494461,1.4625,0.110421819,4.937023048,1.67791628
HH Pandya ,IND,309.4587042,246.9654762,113,556.4241804,2.738572604,1.137939832,2.185535188,0.503391184,4.924107792,1.641331016
D Pretorius ,RSA,44.86159951,100.5025786,30,145.3641781,1.49538665,0.412325377,3.350085953,1.136324106,4.845472603,1.548649482
Imad Wasim ,PAK,58.82457787,275.4333333,69,334.2579112,0.852530114,0.037107177,3.99178744,1.485088633,4.844317554,1.52219581
GJ Maxwell ,AUS,451.0408208,97.01089744,120,548.0517183,3.758673507,1.733345499,0.808424145,-0.245068172,4.567097652,1.488277327
SB Styris ,NZL,66.80708157,63.825,29,130.6320816,2.303692468,0.884111906,2.200862069,0.511721338,4.504554537,1.395833244
Mohammad Hafeez ,PAK,299.9006849,211.6321429,114,511.5328277,2.630707762,1.074982003,1.856422306,0.324518451,4.487130068,1.399500454
Harbhajan Singh ,IND,13.99805195,102.6583333,26,116.6563853,0.538386613,-0.146249999,3.948397436,1.461506182,4.486784049,1.315256183
Yuvraj Singh ,IND,164.3535409,85.16666667,56,249.5202076,2.934884659,1.252521938,1.520833333,0.142125965,4.455717992,1.394647904
IK Pathan ,IND,19.66577381,82.80833333,23,102.4741071,0.855033644,0.03856842,3.600362319,1.272349221,4.455395963,1.310917641
Mohammad Nabi ,AFG,246.7685446,208.0571429,103,454.8256875,2.395811113,0.937879099,2.019972261,0.413407793,4.415783373,1.351286892
GF Linde ,RSA,23.1242674,72.94166667,22,96.06593407,1.051103064,0.153008907,3.315530303,1.117543123,4.366633367,1.270552029
D Wiese ,RSA,12.64893648,73.92261905,20,86.57155553,0.632446824,-0.091349565,3.696130952,1.324399439,4.328577776,1.233049874
Hasan Ali ,PAK,26.76369048,187.9194011,50,214.6830916,0.53527381,-0.148066859,3.758388022,1.358236134,4.293661832,1.210169274
MR Adair ,IRE,23.92770172,190.3920619,50,214.3197636,0.478554034,-0.181172678,3.807841238,1.385113939,4.286395273,1.203941261
Mohammad Nawaz (3) ,PAK,74.27452675,209.4916667,67,283.7661934,1.108575026,0.186553757,3.126741294,1.014936364,4.23531632,1.201490121
AR Patel ,IND,77.78381831,232.9717391,74,310.7555574,1.05113268,0.153026193,3.148266745,1.026635439,4.199399425,1.179661632
MJ Santner ,NZL,58.84166974,366.0148781,103,424.8565478,0.571278347,-0.127051972,3.553542506,1.246902669,4.124820853,1.119850697
R Ashwin ,IND,25.16317641,229.4601449,62,254.6233213,0.405857684,-0.223603597,3.700970079,1.327029502,4.106827763,1.103425905
DJ Hooda ,IND,52.89556989,32.21029412,21,85.105864,2.518836661,1.009685828,1.533823529,0.149186132,4.052660191,1.15887196
J Botha ,RSA,28.10957792,128.8977273,39,157.0073052,0.720758408,-0.03980445,3.30506993,1.111857914,4.025828338,1.072053463
JO Holder ,WI,81.33084335,215.2752748,74,296.6061181,1.099065451,0.181003272,2.909125334,0.896662168,4.008190785,1.07766544
Shadab Khan ,PAK,90.71501325,311.4503623,101,402.1653756,0.898168448,0.063745054,3.083666954,0.991525476,3.981835402,1.05527053
MN Samuels ,WI,205.8876935,55.125,66,261.0126935,3.119510507,1.360283118,0.835227273,-0.230500682,3.95473778,1.129782436
SN Thakur ,IND,13.6547619,84.94166667,25,98.59642857,0.546190476,-0.141695092,3.397666667,1.162184207,3.943857143,1.020489114
DJ Hussey ,AUS,78.80765954,74.92628205,39,153.7339416,2.020709219,0.718942137,1.921186719,0.359717886,3.941895938,1.078660023
Mohammad Saifuddin ,BAN,31.16793223,120.5952899,39,151.7632221,0.79917775,0.005966826,3.092186919,0.996156074,3.891364669,1.0021229
DJ Willey ,ENG,16.77198455,148.2809524,43,165.0529369,0.390046152,-0.232832366,3.448394241,1.189754625,3.838440394,0.956922259
DJ Bravo ,WI,128.9452577,217.1916667,91,346.1369244,1.416980854,0.366562006,2.386721612,0.612735933,3.803702466,0.979297939
ST Jayasuriya ,SL,59.00944258,51.05909091,29,110.0685335,2.034808365,0.727171432,1.760658307,0.272470752,3.795466672,0.999642184
JE Taylor ,WI,19.97420635,93.08333333,30,113.0575397,0.665806878,-0.071878191,3.102777778,1.001912202,3.768584656,0.93003401
AD Mathews ,SL,175.2916593,140.9641319,87,316.2557912,2.014846659,0.715520317,1.620277378,0.196173768,3.635124037,0.911694085
Sohail Tanvir ,PAK,22.08504829,177.1753623,55,199.2604106,0.401546332,-0.226120018,3.221370224,1.066367153,3.622916556,0.840247136
R Shepherd ,WI,104.4157682,116.3426923,61,220.7584605,1.711733905,0.538601494,1.907257251,0.352147226,3.618991156,0.890748719
MP Stoinis ,AUS,184.2459464,71.48214286,71,255.7280893,2.59501333,1.054148116,1.006790744,-0.137255997,3.601804075,0.916892119
DAJ Bracewell ,NZL,21.87860473,49.91413043,20,71.79273516,1.093930236,0.178005984,2.495706522,0.671969192,3.589636758,0.849975177
CJ Jordan ,ENG,62.94512794,262.5542781,91,325.499406,0.691704703,-0.056762323,2.885211847,0.883665197,3.57691655,0.826902874
