Ground,AvgBatImpact,AvgBowlImpact,BattingScale,BowlingScale,BattingScale2,BowlingScale2
Abu Dhabi,1.688638699,3.240072108,-0.642227874,0.439600317,0.408590047,0.508152505
Adelaide,2.563490584,2.557043287,0.408687443,-0.549950502,0.587301959,0.332461165
Ahmedabad,3.274230467,2.497434501,1.262463314,-0.636309848,0.732489603,0.31712836
Auckland,2.532651467,2.823359141,0.371641972,-0.164120412,0.581002244,0.400963969
Basseterre,1.993446749,2.988688978,-0.276077382,0.075404291,0.470855249,0.443490755
Belfast,1.957181854,3.139170173,-0.319640566,0.293416745,0.463447174,0.482198115
Bengaluru,2.311278947,2.567676903,0.105718361,-0.534544851,0.535780982,0.335196385
Birmingham,2.11364189,3.585468651,-0.131693038,0.940000037,0.495408324,0.596996753
Bloemfontein,3.757087212,1.302753623,1.842494697,-2.367126181,0.831126017,0.00982788
Brabourne,4.003646359,1.565031898,2.13867373,-1.987145611,0.881492321,0.077292122
Bready,2.317339982,2.945943256,0.112999176,0.013475624,0.537019111,0.432495533
Bridgetown,1.982401735,3.110906452,-0.289345198,0.252469148,0.46859901,0.474928011
Brisbane,2.249162711,2.876459936,0.031101269,-0.08718964,0.523092079,0.414622762
Bristol,3.250352949,2.505846391,1.233780459,-0.624122965,0.727611981,0.319292099
Bulawayo,1.879470951,2.881742489,-0.412990743,-0.079536441,0.447572642,0.415981561
Cairns,1.866195085,3.67071256,-0.428938369,1.06349875,0.444860691,0.618923524
Canberra,2.209587173,2.762147878,-0.016438824,-0.252801378,0.515007716,0.385218969
Cape Town,2.390102307,2.638112888,0.200404877,-0.432499396,0.551882763,0.353314204
Cardiff,2.168140886,2.77399604,-0.066226152,-0.235636131,0.506541202,0.388266599
Carrara,1.214444296,3.480088217,-1.211853625,0.787328156,0.311723149,0.569890386
Centurion,3.374881841,2.093702796,1.383370719,-1.221223729,0.75305034,0.213278915
Chattogram,2.13713036,2.92232808,-0.103477528,-0.020737305,0.500206472,0.426421146
Chennai,3.286778937,2.335582011,1.277537156,-0.87079668,0.735052964,0.275496031
Chester-le-Street,2.111767691,3.179116223,-0.133944419,0.351289334,0.495025468,0.492473194
Christchurch,2.245542951,2.982721567,0.026753034,0.066758893,0.522352646,0.441955794
