Date.x,Player,Country,Runs.x,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings.x,Participation.x,Opposition.x,Ground,Team.x,Opponent.x,ID,OutPenalty,BattingImpact,Date.y,Overs,Maidens,Runs.y,Wickets,Economy,Innings.y,Participation.y,Opposition.y,Team.y,Opponent.y,BowlingImpact
7/3/18,AJ Finch ,AUS,172,FALSE,NA,76,16,10,226.3157895,1,B,ZIM,Harare,AUS ZIM,ZIM,683,0.5,33.20789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/23/19,Hazratullah Zazai ,AFG,162,TRUE,NA,62,11,16,261.2903226,1,B,IRE,Dehradun,AFG IRE,IRE,746,0,34.83225806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/29/13,AJ Finch ,AUS,156,FALSE,70,63,11,14,247.6190476,1,B,ENG,Southampton,AUS ENG,ENG,328,0.5,32.24047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/6/16,GJ Maxwell ,AUS,145,TRUE,NA,65,14,9,223.0769231,1,B,SL,Pallekele,AUS SL,SL,565,0,29.15192308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/12/25,PD Salt ,ENG,141,TRUE,101,60,15,8,235,1,B,RSA,Manchester,ENG RSA,RSA,3450,0,28.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/17/24,FH Allen ,NZL,137,FALSE,94,62,5,16,220.9677419,1,B,PAK,Dunedin,NZL PAK,PAK,2434,0.5,28.39919355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/2/25,Abhishek Sharma ,IND,135,FALSE,93,54,7,13,250,1,B,ENG,Wankhede,ENG IND,ENG,3086,0.5,27.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/23,Shubman Gill ,IND,126,TRUE,99,63,12,7,200,1,B,NZL,Ahmedabad,IND NZL,NZL,1992,0,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/17,E Lewis ,WI,125,TRUE,NA,62,6,12,201.6129032,2,B,IND,Kingston,IND WI,IND,617,0,25.21532258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/12/25,D Brevis ,RSA,125,TRUE,78,56,12,8,223.2142857,1,B,AUS,Darwin,AUS RSA,AUS,3405,0,25.55535714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/31/16,SR Watson ,AUS,124,TRUE,86,71,10,6,174.6478873,1,B,IND,Sydney,AUS IND,IND,489,0,22.61619718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/23,RD Gaikwad ,IND,123,TRUE,97,57,13,7,215.7894737,1,B,AUS,Guwahati,AUS IND,AUS,2372,0,24.91973684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/21/12,BB McCullum ,NZL,123,FALSE,72,58,11,7,212.0689655,1,B,BAN,Pallekele,BAN NZL,BAN,267,0.5,23.72672414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/22,V Kohli ,IND,122,TRUE,90,61,12,6,200,1,B,AFG,Dubai (DICS),AFG IND,AFG,1761,0,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/14/21,Babar Azam ,PAK,122,FALSE,77,59,15,4,206.779661,2,B,RSA,Centurion,PAK RSA,RSA,1147,0.5,23.16949153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/17/24,RG Sharma ,IND,121,TRUE,103,69,11,8,175.3623188,1,B,AFG,Bengaluru,AFG IND,AFG,NA,0,23.55905797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/11/24,GJ Maxwell ,AUS,120,TRUE,70,55,12,8,218.1818182,1,B,WI,Adelaide,AUS WI,WI,2462,0,24.80454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/24,NT Tilak Varma ,IND,120,TRUE,69,47,9,10,255.3191489,1,B,RSA,Johannesburg,IND RSA,RSA,2952,0,25.83297872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/11/15,F du Plessis ,RSA,119,FALSE,99,56,11,5,212.5,1,B,WI,Johannesburg,RSA WI,WI,414,0.5,22.2375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/19/23,PD Salt ,ENG,119,FALSE,80,57,7,10,208.7719298,1,B,WI,Tarouba,ENG WI,WI,2414,0.5,23.44429825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/10/16,Mohammad Shahzad ,AFG,118,TRUE,NA,67,10,8,176.119403,1,B,ZIM,Sharjah,AFG ZIM,ZIM,477,0,22.90298507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/22/17,RG Sharma ,IND,118,FALSE,61,43,12,10,274.4186047,1,B,SL,Indore,IND SL,SL,634,0.5,26.46046512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/23,J Charles ,WI,118,FALSE,60,46,10,11,256.5217391,1,B,RSA,Centurion,RSA WI,RSA,2032,0.5,25.91304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/19/12,RE Levi ,RSA,117,TRUE,67,51,5,13,229.4117647,2,B,NZL,Hamilton,NZL RSA,NZL,222,0,25.11029412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/07,CH Gayle ,WI,117,FALSE,75,57,7,10,205.2631579,1,B,RSA,Johannesburg,RSA WI,RSA,20,0.5,23.10657895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/22,SA Yadav ,IND,117,FALSE,88,55,14,6,212.7272727,2,B,ENG,Nottingham,ENG IND,ENG,1631,0.5,23.39318182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/13/24,RR Hendricks ,RSA,117,FALSE,93,63,7,10,185.7142857,2,B,PAK,Centurion,PAK RSA,PAK,3047,0.5,22.61785714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/28/10,BB McCullum ,NZL,116,TRUE,87,56,12,8,207.1428571,1,B,AUS,Christchurch,AUS NZL,AUS,NA,0,24.02857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/27/14,AD Hales ,ENG,116,TRUE,97,64,11,6,181.25,2,B,SL,Chattogram,ENG SL,SL,387,0,22.08125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/21,PR Stirling ,IRE,115,TRUE,80,75,8,8,153.3333333,1,B,ZIM,Bready,IRE ZIM,ZIM,1244,0,21.35833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/14/15,MN van Wyk ,RSA,114,TRUE,85,70,9,7,162.8571429,1,B,WI,Durban,RSA WI,WI,415,0,21.27142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/27/19,GJ Maxwell ,AUS,113,TRUE,74,55,7,9,205.4545455,2,B,IND,Bengaluru,AUS IND,IND,749,0,22.61136364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/7/23,SA Yadav ,IND,112,TRUE,67,51,7,9,219.6078431,1,B,SL,Rajkot,IND SL,SL,1986,0,22.84019608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/14,Ahmed Shehzad ,PAK,111,TRUE,96,62,10,5,179.0322581,1,B,BAN,Mirpur,BAN PAK,BAN,392,0,20.60080645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/18,RG Sharma ,IND,111,TRUE,95,61,8,7,181.9672131,1,B,WI,Lucknow,IND WI,WI,709,0,21.07418033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/20/22,SA Yadav ,IND,111,TRUE,72,51,11,7,217.6470588,1,B,NZL,Mount Maunganui,IND NZL,NZL,1898,0,22.86617647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/12/24,SV Samson ,IND,111,FALSE,74,47,11,8,236.1702128,1,B,BAN,Hyderabad,BAN IND,BAN,2904,0.5,23.32925532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/27/16,KL Rahul ,IND,110,TRUE,84,51,12,5,215.6862745,2,B,WI,Lauderhill,IND WI,WI,562,0,21.99215686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/22,Babar Azam ,PAK,110,TRUE,88,66,11,5,166.6666667,2,B,ENG,Karachi,ENG PAK,ENG,1793,0,20.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/23/23,JP Inglis ,AUS,110,FALSE,56,50,11,8,220,1,B,IND,Visakhapatnam,AUS IND,IND,2360,0.5,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
