Batsman1_T1,Batsman2_T1,Batsman3_T1,Batsman4_T1,Batsman5_T1,Batsman6_T1,Batsman7_T1,Batsman8_T1,Bowler1_T1,Bowler2_T1,Bowler3_T1,Bowler4_T1,Bowler5_T1,Bowler6_T1,Batsman1_T2,Batsman2_T2,Batsman3_T2,Batsman4_T2,Batsman5_T2,Batsman6_T2,Batsman7_T2,Batsman8_T2,Bowler1_T2,Bowler2_T2,Bowler3_T2,Bowler4_T2,Bowler5_T2,Bowler6_T2,Winner_Team1
3.38403679,3.024714526,2.864081443,2.760422401,2.563694751,2.235254939,0.898490122,-0.066941567,6.446771777,6.233082704,5.582091045,4.785918497,2.304194789,0.801882851,4.427443644,2.899682752,2.395080583,2.246435917,1.958236676,1.072874084,0.124712422,-0.061914486,5.16859247,4.665512885,4.168420867,3.8585244,3.474787693,0.479127272,1
3.546482587,3.169911577,3.001567536,2.892932491,2.686761214,2.092682349,0.067234,-0.070155,7.446162965,6.719023761,5.83403285,3.63582761,1.055694486,0.74497227,4.63997668,3.038877834,2.510052966,2.354272828,2.052238999,1.124375855,0.144842496,0.098024297,6.048491788,5.459768116,4.878051332,4.33742325,1.562506246,0.560693726,0
3.546482587,3.169911577,3.001567536,2.892932491,2.686761214,2.342555124,1.860162088,-0.070155,7.544267879,7.294200456,6.532384212,5.600671536,1.055694486,0.74497227,4.63997668,3.038877834,2.421537766,2.137748957,1.199334245,0.704386535,0.130699062,-0.064886602,6.048491788,5.459768116,4.878051332,4.6182847,4.233185815,3.614519375,1
2.739583478,2.092484081,1.916697381,1.844604714,1.525587157,0.62596924,0.479241579,0.338618465,6.140388929,4.14892271,3.723284451,2.891383756,1.918145652,0.434758191,2.793009624,2.478503079,2.045321819,1.414623469,1.19782702,1.112303523,0.941149752,0.480685947,3.026051625,2.854592353,2.506232056,2.221499878,1.700499018,1.242135155,1
2.739583478,2.134745263,2.049780324,1.863455787,1.770820526,1.43023796,0.556417102,0.359431184,6.140388929,4.224427882,3.723284451,2.891383756,1.918145652,0.434758191,2.793009624,2.478503079,2.045321819,1.414623469,1.19782702,1.112303523,0.941149752,0.480685947,3.026051625,2.854592353,2.506232056,2.221499878,1.700499018,1.242135155,0
2.739583478,2.134745263,2.049780324,1.863455787,1.770820526,1.43023796,0.556417102,0.359431184,6.140388929,4.224427882,4.033674857,2.891383756,1.918145652,0.434758191,2.793009624,2.478503079,2.373277485,1.414623469,1.19782702,1.112303523,0.640914596,0.194989132,3.026051625,2.854592353,2.506232056,2.221499878,1.700499018,1.242135155,1
2.902686123,2.556976319,1.572853623,1.459412635,1.235752075,1.09231651,0.661206943,0.486993895,2.962472695,2.658435532,2.488939181,1.626708559,1.364093781,0.342050298,3.25227455,3.094593367,3.005200024,2.82656167,2.523592169,2.113508211,0.950991623,-0.101490633,4.619445816,4.46632653,3.572248371,2.226260906,1.651074886,0.574590587,0
2.902686123,2.556976319,2.303127574,1.529163244,1.40103613,1.15851757,1.020018464,0.495905208,2.713819605,2.560051729,1.694488083,1.455033366,1.253216253,0.342050298,3.25227455,3.094593367,2.907320575,2.628741843,2.254408759,1.069865576,-0.121825689,-0.101490633,4.973392492,4.525171412,3.572248371,2.226260906,1.651074886,0.574590587,0
2.979078173,2.571058282,1.818624937,1.455411719,1.295325074,0.572907208,0.314256211,0.104164704,4.707166854,4.147614846,3.179817281,3.009488333,2.811637801,1.935725692,4.284880193,2.987298502,2.367401623,2.253571362,1.107549435,0.650479975,-0.079894457,-0.096571991,3.730192792,3.367118347,2.966836765,2.784711696,2.507767459,1.205038052,1
2.902686123,2.556976319,2.303127574,1.529163244,1.40103613,1.15851757,1.020018464,0.495905208,2.713819605,2.560051729,2.075294349,1.626708559,1.253216253,0.342050298,3.25227455,3.094593367,3.005200024,2.82656167,2.523592169,2.113508211,-0.121825689,-0.101490633,4.619445816,4.46632653,3.572248371,2.226260906,0.646414411,0.456155467,0
1.724978421,1.420795115,1.138846097,1.089341254,1.020820124,0.5662622,0.392175388,0.042374215,3.929965555,3.691232464,3.461217078,3.28134099,2.909109703,0.552867295,2.14377613,1.637408555,1.499852122,1.443438241,1.211077533,1.119188381,0.716114563,0.326555217,10.92210571,6.437612841,5.195707634,3.14725302,2.08788947,0.473231554,0
2.06028473,1.344776266,1.244339802,1.205242214,1.154802522,0.525879306,0.402310952,0.297165154,3.56450032,2.78405787,1.640369918,1.388994271,1.160289522,0.914019374,2.611868731,2.025692182,1.496994911,1.349296952,0.872814203,0.572907208,0.314256211,0.104164704,4.234023489,3.270669203,3.124042001,2.891125285,2.177691403,0.959258014,0
3.528257794,3.108042427,2.799485534,1.965310558,1.784371657,1.596543824,1.239847487,0.602780094,2.150724332,1.929996517,1.806943931,1.446376406,0.909821951,0.469556002,3.953187682,3.761523879,3.652864952,3.435727398,3.067463501,2.569000402,0,-0.111060692,3.353669566,3.242506558,2.593415124,0.500576141,0.372559634,0.313183277,0
1.724978421,1.624836927,1.391799296,1.238305751,1.062923024,0.957018866,0.243792889,0.042374215,4.229893004,3.560108995,3.418063532,3.261271969,3.039113317,0.228883625,2.14377613,1.670478733,1.603992054,1.443438241,1.19380094,0.805628883,0.435406955,0.281261732,10.92210571,6.437612841,5.195707634,3.14725302,2.08788947,0.473231554,1
2.979078173,2.571058282,1.818624937,1.455411719,1.295325074,0.572907208,0.314256211,0.104164704,4.707166854,3.270669203,3.134883681,2.999080321,2.177691403,0.959258014,4.284880193,2.987298502,2.367401623,2.253571362,1.107549435,0.650479975,0.133757729,0.071598474,3.115178604,2.983619674,2.786408288,1.647054546,0.963620311,0.314681967,1
3.528257794,3.108042427,2.799485534,1.965310558,1.784371657,1.596543824,1.239847487,0.602780094,2.150724332,1.929996517,1.806943931,1.446376406,0.909821951,0.469556002,3.953187682,3.761523879,3.533891038,3.275697788,3.067463501,2.569000402,-0.148080922,-0.123363362,3.353669566,3.242506558,2.593415124,1.616242238,0.469290132,0.331164119,0
1.724978421,1.624836927,1.391799296,1.238305751,1.045767603,0.957018866,0.243792889,0.042374215,4.229893004,3.849762176,3.418063532,3.261271969,3.039113317,0.228883625,2.14377613,1.670478733,1.603992054,1.443438241,1.19380094,0.489832825,0.375015642,0.264975383,10.92210571,5.344156424,3.858623713,3.14725302,2.08788947,0.473231554,1
2.06028473,1.344776266,1.244339802,1.205242214,0.959272702,0.525879306,0.402310952,0.297165154,3.56450032,2.78405787,1.640369918,1.388994271,1.160289522,0.914019374,4.284880193,2.987298502,2.367401623,2.253571362,1.107549435,0.650479975,0.133757729,-0.059920843,3.730192792,3.367118347,2.966836765,1.446045662,0.963620311,0.314681967,0
2.06028473,1.344776266,1.244339802,1.205242214,0.959272702,0.525879306,0.402310952,0.297165154,3.663223889,3.491755416,2.706722929,1.388994271,1.160289522,0.914019374,2.979078173,2.571058282,1.818624937,1.455411719,1.295325074,0.818263316,0.509250852,0.235692158,4.707166854,4.147614846,3.179817281,3.009488333,2.177691403,0.959258014,0
2.854439748,2.459710634,2.196320589,1.587814818,1.113245988,0.963280397,0.666981162,0.090272402,4.111073851,3.036309893,2.556155234,1.067375974,0.609474505,0.159561782,2.010930924,1.89418881,1.622520149,1.443581727,1.219126215,1.115665454,0.284206836,0.049398659,3.768647409,3.171899508,3.045343289,2.905648948,2.707715424,0.203925177,0
2.979078173,2.571058282,1.984351526,1.768107577,0.926262351,0.818263316,0.314256211,0.001130948,4.707166854,4.147614846,3.179817281,2.891125285,0.565854883,0.001106467,4.284880193,2.987298502,2.367401623,2.253571362,1.107549435,0.650479975,0.095464632,-0.059920843,3.730192792,3.367118347,2.966836765,2.784711696,2.507767459,1.372545455,1
2.06028473,1.344776266,1.239677705,0.999242398,0.560937927,0.452599821,0.396220205,0.018773601,3.663223889,2.78405787,1.640369918,1.388994271,1.160289522,0.914019374,4.284880193,2.987298502,2.367401623,2.253571362,1.107549435,0.650479975,0.133757729,-0.059920843,3.730192792,3.367118347,2.966836765,1.446045662,0.963620311,0.314681967,0
2.787363551,2.401910137,2.144709469,1.550502915,1.00335399,0.13222665,0.106059816,-0.049890491,5.246776505,3.875104167,3.262304621,1.440131761,1.277103178,0.691417405,1.963676257,1.849677454,1.584392709,1.409659143,1.190478088,1.089448542,0.572995581,0.334832666,4.809753217,4.048151022,3.83970444,3.528435917,0.70724003,0.260260425,0
3.89141476,3.353286498,2.994210813,2.164644051,1.400774049,0.184600511,0.148069216,-0.069651694,3.166952243,2.339011357,1.969125791,0.869262967,0.770858978,0.417339275,2.741471872,2.582319104,2.024242199,1.759667889,1.662016425,1.520969927,0.7999543,0.467457063,2.697311506,2.398239778,2.317644095,2.129762537,0.426889805,0.157093091,1
3.691438262,2.80470342,1.955514472,1.575984001,1.111549281,0.800315675,0.328357663,0.029358458,4.139300878,3.393435424,2.069980054,1.977036504,0.772472022,0.319156028,3.924387368,2.916278733,2.626759549,1.744038932,1.409398073,1.308768641,1.107384142,0.565589051,2.889025745,2.592526407,2.427232286,1.942889012,1.487229818,1.086351959,0
4.715128592,3.861412603,3.582028292,3.251618197,2.73900787,2.252437053,1.691494679,0.533158976,4.541036803,3.593666429,2.854208329,1.867734039,0.411583151,0,3.881772069,2.884610582,2.762143571,2.526062112,1.656096236,1.481771024,1.161744403,0.559447265,2.811864742,2.523284401,2.362405007,1.890997725,1.447508419,0,1
6.458705469,5.289299372,4.906603344,4.454013039,3.751847858,3.085351169,2.316981545,0.730312382,3.444439439,2.725845862,2.16495663,1.41670219,0.312191533,0,5.317187432,3.951292054,3.78353876,3.460158266,2.165019241,1.790255638,1.576233156,0.766321648,2.132838432,1.913946238,1.791916985,1.434348019,1.097955225,0.80200504,1
4.394132839,3.598535988,3.338171556,3.030255065,2.55254214,2.099096012,1.576341381,0.496862666,4.291909551,3.43461515,2.276154598,0.513622768,0,0,3.617509425,2.688232535,2.574102813,2.354093268,1.631857811,1.380895259,1.082655358,0.80428399,3.28967036,2.952053056,2.304505394,1.806374432,1.391630839,0.718215923,1
3.360201274,2.566509737,2.350900797,2.262476453,1.871189525,0.722716013,0.587807664,0.415328172,3.720306176,2.842701602,2.63134085,2.176877057,1.423810472,0.322714422,2.703768648,2.546804694,2.18153645,1.940947334,1.639158858,1.50005216,0.788952599,0.286594703,2.536079285,2.38284021,2.302762048,0.452425239,0.175594911,0,1
3.360201274,2.566509737,2.350900797,2.262476453,1.871189525,0.722716013,0.587807664,0.415328172,3.143842555,2.842701602,2.63134085,2.176877057,1.423810472,0.322714422,2.703768648,2.546804694,2.18153645,1.940947334,1.639158858,1.50005216,0.788952599,0.286594703,2.536079285,2.42777242,2.316650204,2.210651566,0.424148662,0.156084365,1
