Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Oman,U.A.E.,Oman,5 wickets,Al Amerat,13-Oct-25,3518
Japan,Samoa,Japan,4 runs,Al Amerat,12-Oct-25,3517
Nepal,U.A.E.,Nepal,1 run,Al Amerat,12-Oct-25,3516
Oman,Qatar,Oman,34 runs,Al Amerat,12-Oct-25,3515
Namibia,South Africa,Namibia,4 wickets,Windhoek,11-Oct-25,3514
Oman,P.N.G.,Oman,52 runs,Al Amerat,10-Oct-25,3513
Japan,Nepal,Nepal,5 wickets,Al Amerat,10-Oct-25,3512
Malaysia,U.A.E.,U.A.E.,6 wickets,Al Amerat,10-Oct-25,3511
P.N.G.,Samoa,Samoa,6 wickets,Al Amerat,9-Oct-25,3510
Japan,Kuwait,Japan,5 wickets,Al Amerat,9-Oct-25,3509
Malaysia,Qatar,Qatar,8 wickets,Al Amerat,9-Oct-25,3508
Kuwait,Nepal,Nepal,58 runs,Al Amerat,8-Oct-25,3507
Qatar,U.A.E.,U.A.E.,7 wickets,Al Amerat,8-Oct-25,3506
Oman,Samoa,Oman,5 wickets,Al Amerat,8-Oct-25,3505
Afghanistan,Bangladesh,Bangladesh,6 wickets,Sharjah,5-Oct-25,3504
Nigeria,Uganda,Uganda,66 runs,Harare,4-Oct-25,3502
Zimbabwe,Namibia,Zimbabwe,7 wickets,Harare,4-Oct-25,3503
Botswana,Malawi,Malawi,56 runs,Harare,4-Oct-25,3500
Kenya,Tanzania,Kenya,51 runs,Harare,4-Oct-25,3501
New Zealand,Australia,Australia,3 wickets,Mount Maunganui,4-Oct-25,3499
Afghanistan,Bangladesh,Bangladesh,2 wickets,Sharjah,3-Oct-25,3498
New Zealand,Australia,no result,-,Mount Maunganui,3-Oct-25,3497
Afghanistan,Bangladesh,Bangladesh,4 wickets,Sharjah,2-Oct-25,3496
Malawi,Uganda,Uganda,117 runs,Harare,2-Oct-25,3494
Zimbabwe,Kenya,Zimbabwe,7 wickets,Harare,2-Oct-25,3495
Botswana,Nigeria,Nigeria,44 runs,Harare,2-Oct-25,3492
Namibia,Tanzania,Namibia,63 runs,Harare,2-Oct-25,3493
New Zealand,Australia,Australia,6 wickets,Mount Maunganui,1-Oct-25,3491
Nepal,West Indies,West Indies,10 wickets,Sharjah,30-Sep-25,3490
Malawi,Namibia,Namibia,8 wickets,Harare,30-Sep-25,3488
Kenya,Nigeria,Kenya,7 wickets,Harare,30-Sep-25,3489
Oman,Kuwait,Oman,5 wickets,Al Amerat,30-Sep-25,3487
Zimbabwe,Tanzania,Zimbabwe,113 runs,Harare,30-Sep-25,3485
Botswana,Uganda,Uganda,8 wickets,Harare,30-Sep-25,3486
Oman,Kuwait,Oman,5 wickets,Al Amerat,29-Sep-25,3484
Nepal,West Indies,Nepal,90 runs,Sharjah,29-Sep-25,3483
India,Pakistan,India,5 wickets,Dubai (DICS),28-Sep-25,3482
Zimbabwe,Botswana,Zimbabwe,170 runs,Harare,28-Sep-25,3480
Kenya,Malawi,Malawi,3 runs,Harare,28-Sep-25,3481
Namibia,Nigeria,Namibia,117 runs,Harare,28-Sep-25,3478
Tanzania,Uganda,Tanzania,9 runs,Harare,28-Sep-25,3479
Nepal,West Indies,Nepal,19 runs,Sharjah,27-Sep-25,3477
India,Sri Lanka,tied,-,Dubai (DICS),26-Sep-25,3476
Zimbabwe,Uganda,Zimbabwe,5 wickets,Harare,26-Sep-25,3474
Botswana,Tanzania,Tanzania,7 wickets,Harare,26-Sep-25,3475
Kenya,Namibia,Namibia,136 runs,Harare,26-Sep-25,3472
Malawi,Nigeria,Nigeria,9 wickets,Harare,26-Sep-25,3473
Bangladesh,Pakistan,Pakistan,11 runs,Dubai (DICS),25-Sep-25,3471
Bangladesh,India,India,41 runs,Dubai (DICS),24-Sep-25,3470
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,23-Sep-25,3469
India,Pakistan,India,6 wickets,Dubai (DICS),21-Sep-25,3468
Ireland,England,England,6 wickets,Dublin (Malahide),21-Sep-25,3467
Bangladesh,Sri Lanka,Bangladesh,4 wickets,Dubai (DICS),20-Sep-25,3466
India,Oman,India,21 runs,Abu Dhabi,19-Sep-25,3465
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Abu Dhabi,18-Sep-25,3464
Zimbabwe,Namibia,Namibia,28 runs,Bulawayo,18-Sep-25,3463
U.A.E.,Pakistan,Pakistan,41 runs,Dubai (DICS),17-Sep-25,3462
Ireland,England,England,4 wickets,Dublin (Malahide),17-Sep-25,3461
Afghanistan,Bangladesh,Bangladesh,8 runs,Abu Dhabi,16-Sep-25,3460
Zimbabwe,Namibia,Zimbabwe,5 wickets,Bulawayo,16-Sep-25,3459
Hong Kong,Sri Lanka,Sri Lanka,4 wickets,Dubai (DICS),15-Sep-25,3458
U.A.E.,Oman,U.A.E.,42 runs,Abu Dhabi,15-Sep-25,3457
Zimbabwe,Namibia,Zimbabwe,33 runs,Bulawayo,15-Sep-25,3456
India,Pakistan,India,7 wickets,Dubai (DICS),14-Sep-25,3455
Eswatini,Mozambique,no result,-,Malkerns,14-Sep-25,3454
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Abu Dhabi,13-Sep-25,3453
Eswatini,Mozambique,tied,-,Malkerns,13-Sep-25,3452
Eswatini,Mozambique,Eswatini,74 runs,Malkerns,13-Sep-25,3451
England,South Africa,England,146 runs,Manchester,12-Sep-25,3450
Oman,Pakistan,Pakistan,93 runs,Dubai (DICS),12-Sep-25,3449
Eswatini,Mozambique,Eswatini,5 runs,Malkerns,12-Sep-25,3448
Eswatini,Mozambique,Eswatini,31 runs,Malkerns,12-Sep-25,3447
Bangladesh,Hong Kong,Bangladesh,7 wickets,Abu Dhabi,11-Sep-25,3446
England,South Africa,South Africa,14 runs,Cardiff,10-Sep-25,3445
U.A.E.,India,India,9 wickets,Dubai (DICS),10-Sep-25,3444
Afghanistan,Hong Kong,Afghanistan,94 runs,Abu Dhabi,9-Sep-25,3443
Afghanistan,Pakistan,Pakistan,75 runs,Sharjah,7-Sep-25,3442
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,7-Sep-25,3441
Isle of Man,Sweden,Sweden,3 wickets,Tromode,6-Sep-25,3440
Zimbabwe,Sri Lanka,Zimbabwe,5 wickets,Harare,6-Sep-25,3439
Isle of Man,Sweden,Sweden,10 wickets,Tromode,6-Sep-25,3438
U.A.E.,Afghanistan,Afghanistan,4 runs,Sharjah,5-Sep-25,3437
U.A.E.,Pakistan,Pakistan,31 runs,Sharjah,4-Sep-25,3436
Bangladesh,Netherlands,no result,-,Sylhet,3-Sep-25,3435
Zimbabwe,Sri Lanka,Sri Lanka,4 wickets,Harare,3-Sep-25,3434
Afghanistan,Pakistan,Afghanistan,18 runs,Sharjah,2-Sep-25,3433
U.A.E.,Afghanistan,Afghanistan,38 runs,Sharjah,1-Sep-25,3432
Bangladesh,Netherlands,Bangladesh,9 wickets,Sylhet,1-Sep-25,3431
Hungary,Serbia,Hungary,34 runs,Szodliget,31-Aug-25,3430
Guernsey,Switzerland,Guernsey,7 wickets,Castel,31-Aug-25,3429
Croatia,Serbia,Serbia,8 wickets,Szodliget,31-Aug-25,3428
Guernsey,Switzerland,no result,-,Castel,30-Aug-25,3427
