"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2018-07-03,"AJ Finch ","Australia",172,FALSE,NA,76,16,10,226.315789473684,1,"B","Zimbabwe","Harare"
2019-02-23,"Hazratullah Zazai ","Afghanistan",162,TRUE,NA,62,11,16,261.290322580645,1,"B","Ireland","Dehradun"
2013-08-29,"AJ Finch ","Australia",156,FALSE,70,63,11,14,247.619047619048,1,"B","England","Southampton"
2024-12-14,"YSD Seneveratne ","CAY",150,TRUE,NA,67,7,13,223.880597014925,1,"B","Brazil","Buenos Aires"
2016-09-06,"GJ Maxwell ","Australia",145,TRUE,NA,65,14,9,223.076923076923,1,"B","Sri Lanka","Pallekele"
2024-06-17,"Sahil Chauhan ","EST",144,TRUE,NA,41,6,18,351.219512195122,2,"B","Cyprus","Episkopi"
2023-09-27,"Kushal Malla ","NEP",137,TRUE,NA,50,8,12,274,1,"B","Mongolia","Hangzhou"
2022-06-05,"Zeeshan Kukikhel ","HUN",137,FALSE,NA,49,7,15,279.591836734694,2,"B","Austria","Lower Austria"
2024-01-17,"FH Allen ","New Zealand",137,FALSE,94,62,5,16,220.967741935484,1,"B","Pakistan","Dunedin"
2024-02-29,"M Levitt ","NED",135,FALSE,NA,62,11,10,217.741935483871,1,"B","Namibia","Kirtipur"
2025-02-02,"Abhishek Sharma ","India",135,FALSE,93,54,7,13,250,1,"B","England","Wankhede"
2024-02-15,"L Yamamoto-Lake ","Japan",134,TRUE,NA,68,8,12,197.058823529412,1,"B","China","Mong Kok"
2021-04-18,"MP O'Dowd ","NED",133,TRUE,NA,73,15,6,182.191780821918,1,"B","Malaysia","Kirtipur"
2024-10-23,"Sikandar Raza ","Zimbabwe",133,TRUE,NA,43,7,15,309.302325581395,1,"B","Gambia","Nairobi (Ruaraka)"
2023-07-25,"HG Munsey ","Scotland",132,FALSE,NA,61,15,6,216.393442622951,1,"B","Austria","Edinburgh (Golden)"
2024-08-20,"D Visser ","Samoa",132,FALSE,NA,62,5,14,212.903225806452,1,"B","Vanuatu","Apia (No 2)"
2019-09-16,"HG Munsey ","Scotland",127,TRUE,NA,56,5,14,226.785714285714,1,"B","Netherlands","Dublin (Malahide)"
2023-07-24,"OJ Hairs ","Scotland",127,TRUE,NA,53,14,8,239.622641509434,1,"B","Italy","Edinburgh"
2023-02-01,"Shubman Gill ","India",126,TRUE,99,63,12,7,200,1,"B","New Zealand","Ahmedabad"
2023-10-02,"Syed Aziz ","MAS",126,FALSE,NA,56,13,9,225,1,"B","Thailand","Hangzhou"
2017-07-09,"E Lewis ","West Indies",125,TRUE,NA,62,6,12,201.612903225806,2,"B","India","Kingston"
2020-08-29,"Shaheryar Butt ","BEL",125,TRUE,NA,50,11,9,250,1,"B","Czech Rep.","Walferdange"
2025-08-12,"D Brevis ","South Africa",125,TRUE,78,56,12,8,223.214285714286,1,"B","Australia","Darwin"
2016-01-31,"SR Watson ","Australia",124,TRUE,86,71,10,6,174.647887323944,1,"B","India","Sydney"
2019-10-07,"KJ O'Brien ","Ireland",124,FALSE,NA,62,12,7,200,1,"B","Hong Kong","Al Amerat"
2023-11-28,"RD Gaikwad ","India",123,TRUE,97,57,13,7,215.789473684211,1,"B","Australia","Guwahati"
2012-09-21,"BB McCullum ","New Zealand",123,FALSE,72,58,11,7,212.068965517241,1,"B","Bangladesh","Pallekele"
2022-09-08,"V Kohli ","India",122,TRUE,90,61,12,6,200,1,"B","Afghanistan","Dubai (DICS)"
2025-07-12,"A Donovan ","PHI",122,TRUE,NA,54,11,7,225.925925925926,1,"B","South Korea","Bali"
2016-02-19,"Babar Hayat ","Hong Kong",122,FALSE,91,60,9,7,203.333333333333,2,"B","Oman","Fatullah"
2021-04-14,"Babar Azam ","Pakistan",122,FALSE,77,59,15,4,206.779661016949,2,"B","South Africa","Centurion"
2024-02-11,"Aritra Dutta ","SGP",122,FALSE,NA,63,15,7,193.650793650794,2,"B","Japan","Bangkok"
2023-10-03,"A Johnson ","Canada",121,TRUE,NA,59,6,11,205.084745762712,1,"B","Panama","Hamilton"
2024-01-17,"RG Sharma ","India",121,TRUE,103,69,11,8,175.36231884058,1,"B","Afghanistan","Bengaluru"
2024-02-11,"GJ Maxwell ","Australia",120,TRUE,70,55,12,8,218.181818181818,1,"B","West Indies","Adelaide"
2024-11-15,"NT Tilak Varma ","India",120,TRUE,69,47,9,10,255.31914893617,1,"B","South Africa","Johannesburg"
2024-10-19,"RR Patel ","Kenya",120,FALSE,NA,55,12,8,218.181818181818,1,"B","Mozambique","Nairobi (Ruaraka)"
2025-07-12,"Muhammad Fahad ","TKY",120,FALSE,NA,34,10,12,352.941176470588,1,"B","Bulgaria","Sofia"
2015-01-11,"F du Plessis ","South Africa",119,FALSE,99,56,11,5,212.5,1,"B","West Indies","Johannesburg"
2023-12-19,"PD Salt ","England",119,FALSE,80,57,7,10,208.771929824561,1,"B","West Indies","Tarouba"
2016-01-10,"Mohammad Shahzad ","Afghanistan",118,TRUE,NA,67,10,8,176.119402985075,1,"B","Zimbabwe","Sharjah"
2017-12-22,"RG Sharma ","India",118,FALSE,61,43,12,10,274.418604651163,1,"B","Sri Lanka","Indore"
2023-03-26,"J Charles ","West Indies",118,FALSE,60,46,10,11,256.521739130435,1,"B","South Africa","Centurion"
2025-06-07,"Izaz Ali ","SVN",118,FALSE,NA,45,7,13,262.222222222222,2,"B","Serbia","Belgrade"
2012-02-19,"RE Levi ","South Africa",117,TRUE,67,51,5,13,229.411764705882,2,"B","New Zealand","Hamilton"
2017-04-14,"Shaiman Anwar ","United Arab Emirates",117,TRUE,NA,68,10,6,172.058823529412,1,"B","Papau New Guinea","Abu Dhabi"
2024-11-12,"DK Kesuma ","INA",117,TRUE,NA,65,11,6,180,1,"B","Myanmar","Bali"
2007-09-11,"CH Gayle ","West Indies",117,FALSE,75,57,7,10,205.263157894737,1,"B","South Africa","Johannesburg"
2022-06-26,"LA Dunbar ","SRB",117,FALSE,NA,50,9,11,234,1,"B","Bulgaria","Sofia"
2022-07-10,"SA Yadav ","India",117,FALSE,88,55,14,6,212.727272727273,2,"B","England","Nottingham"
2024-12-13,"RR Hendricks ","South Africa",117,FALSE,93,63,7,10,185.714285714286,2,"B","Pakistan","Centurion"
2010-02-28,"BB McCullum ","New Zealand",116,TRUE,87,56,12,8,207.142857142857,1,"B","Australia","Christchurch"
2014-03-27,"AD Hales ","England",116,TRUE,97,64,11,6,181.25,2,"B","Sri Lanka","Chattogram"
2023-05-02,"Virandeep Singh ","MAS",116,TRUE,NA,62,11,7,187.096774193548,1,"B","Indonesia","Phnom Penh"
2021-09-01,"PR Stirling ","Ireland",115,TRUE,80,75,8,8,153.333333333333,1,"B","Zimbabwe","Bready"
2022-05-12,"S Davizi ","CZK-R",115,TRUE,NA,59,7,8,194.915254237288,1,"B","Bulgaria","Marsa"
2024-02-15,"Waji Ul Hassan ","KSA",115,TRUE,NA,62,16,3,185.483870967742,1,"B","Bhutan","Bangkok"
2025-07-10,"DK Kesuma ","INA",115,TRUE,NA,71,9,7,161.971830985915,1,"B","Philippines","Bali"
2023-07-11,"Zeeshan Khan ","MLT",115,FALSE,NA,64,10,6,179.6875,1,"B","Luxembourg","Marsa"
2025-06-01,"Karanbir Singh ","AUT",115,FALSE,NA,70,7,11,164.285714285714,1,"B","Switzerland","Latschach"
2015-01-14,"MN van Wyk ","South Africa",114,TRUE,85,70,9,7,162.857142857143,1,"B","West Indies","Durban"
2022-10-15,"K Kadowaki-Fleming ","Japan",114,FALSE,NA,46,10,10,247.826086956522,1,"B","South Korea","Sano"
2019-02-27,"GJ Maxwell ","Australia",113,TRUE,74,55,7,9,205.454545454545,2,"B","India","Bengaluru"
2022-07-30,"Faheem Nazir ","SUI",113,FALSE,NA,67,10,3,168.65671641791,1,"B","Czech Rep.","Kerava"
2023-01-07,"SA Yadav ","India",112,TRUE,67,51,7,9,219.607843137255,1,"B","Sri Lanka","Rajkot"
2024-08-17,"HB Dickson ","COK",112,TRUE,NA,57,10,7,196.491228070175,2,"B","Vanuatu","Apia (No 2)"
2022-02-24,"Muhammad Waseem ","United Arab Emirates",112,FALSE,NA,66,7,8,169.69696969697,2,"B","Ireland","Al Amerat"
2024-11-24,"Selim Salau ","NGA",112,FALSE,NA,53,13,2,211.320754716981,1,"B","Ivory Coast","Abuja"
2014-03-30,"Ahmed Shehzad ","Pakistan",111,TRUE,96,62,10,5,179.032258064516,1,"B","Bangladesh","Mirpur"
2018-11-06,"RG Sharma ","India",111,TRUE,95,61,8,7,181.967213114754,1,"B","West Indies","Lucknow"
2019-09-01,"Bilal Zalmai ","AUT",111,TRUE,NA,58,9,7,191.379310344828,1,"B","Czech Rep.","Ilfov County"
2022-07-09,"S Davizi ","CZK-R",111,TRUE,NA,71,14,3,156.338028169014,1,"B","Austria","Vinor"
2022-11-20,"SA Yadav ","India",111,TRUE,72,51,11,7,217.647058823529,1,"B","New Zealand","Mount Maunganui"
2024-09-02,"Usman Patel ","KUW",111,TRUE,NA,52,9,6,213.461538461538,1,"B","Maldives","Bangi"
2024-10-12,"SV Samson ","India",111,FALSE,74,47,11,8,236.170212765957,1,"B","Bangladesh","Hyderabad"
2016-08-27,"KL Rahul ","India",110,TRUE,84,51,12,5,215.686274509804,2,"B","West Indies","Lauderhill"
2022-04-02,"DS Airee ","NEP",110,TRUE,NA,57,10,6,192.982456140351,1,"B","Malaysia","Kirtipur"
2022-09-22,"Babar Azam ","Pakistan",110,TRUE,88,66,11,5,166.666666666667,2,"B","England","Karachi"
2025-07-23,"D Visser ","Samoa",110,TRUE,NA,60,15,3,183.333333333333,1,"B","Hong Kong","Singapore"
2025-07-27,"Karanbir Singh ","AUT",110,TRUE,NA,47,10,9,234.042553191489,1,"B","Romania","Szodliget"
2022-05-13,"Taranjeet Singh ","ROM",110,FALSE,NA,61,12,5,180.327868852459,1,"B","Czech Rep.","Marsa"
2023-11-23,"JP Inglis ","Australia",110,FALSE,56,50,11,8,220,1,"B","India","Visakhapatnam"
2024-03-09,"Babar Hayat ","Hong Kong",110,FALSE,NA,49,3,13,224.489795918367,1,"B","Nepal","Mong Kok"
2024-07-07,"HL Carlyon ","JER",110,FALSE,NA,57,4,10,192.982456140351,1,"B","Serbia","Krefeld"
2024-11-19,"Abdul Waheed ","KSA",110,FALSE,NA,55,8,7,200,2,"B","Bahrain","Doha"
2017-11-04,"C Munro ","New Zealand",109,TRUE,87,58,7,7,187.931034482759,1,"B","India","Rajkot"
2022-11-16,"A Johnson ","Canada",109,TRUE,NA,69,9,8,157.971014492754,1,"B","Oman","Al Amerat"
2023-12-16,"PD Salt ","England",109,TRUE,95,56,4,9,194.642857142857,2,"B","West Indies","St George's"
2024-02-15,"K Kadowaki-Fleming ","Japan",109,TRUE,NA,53,3,11,205.660377358491,1,"B","China","Mong Kok"
2024-11-15,"SV Samson ","India",109,TRUE,104,56,6,9,194.642857142857,1,"B","South Africa","Johannesburg"
2022-07-25,"G Mckeon ","Fran",109,FALSE,NA,61,5,9,178.688524590164,1,"B","Switzerland","Vantaa"
2022-10-27,"RR Rossouw ","South Africa",109,FALSE,90,56,7,8,194.642857142857,1,"B","Bangladesh","Sydney"
2022-02-18,"M Spoors ","Canada",108,TRUE,NA,66,14,3,163.636363636364,1,"B","Philippines","Al Amerat"
2022-05-14,"Saim Hussain ","BUL",108,TRUE,NA,55,8,7,196.363636363636,1,"B","Malta","Marsa"
2024-06-16,"JA Burns ","ITA",108,TRUE,NA,55,12,4,196.363636363636,1,"B","Romania","Rome"
2020-11-29,"GD Phillips ","New Zealand",108,FALSE,72,51,10,8,211.764705882353,1,"B","West Indies","Mount Maunganui"
2019-03-23,"TP Ura ","Papau New Guinea",107,TRUE,NA,60,4,6,178.333333333333,1,"B","Philippines","Port Moresby"
2021-10-10,"Muhammad Waseem ","United Arab Emirates",107,TRUE,NA,62,14,4,172.58064516129,2,"B","Ireland","ICCA Dubai"
2021-10-23,"BA Pai ","GIBR",107,TRUE,NA,52,11,2,205.769230769231,1,"B","Bulgaria","Marsa"
2021-11-14,"R Pathan ","Canada",107,TRUE,NA,62,9,6,172.58064516129,1,"B","Panama","Coolidge"
2022-07-27,"Faheem Nazir ","SUI",107,TRUE,NA,68,11,4,157.352941176471,1,"B","Estonia","Kerava"
2022-12-08,"O Harvey ","GHA",107,TRUE,NA,54,4,9,198.148148148148,1,"B","Gambia","Rwanda"
2024-11-13,"NT Tilak Varma ","India",107,TRUE,97,56,8,7,191.071428571429,1,"B","South Africa","Centurion"
2025-06-01,"Mohammad Haris ","Pakistan",107,TRUE,81,46,8,7,232.608695652174,2,"B","Bangladesh","Lahore"
2025-07-24,"D Visser ","Samoa",107,TRUE,NA,64,17,3,167.1875,1,"B","Malaysia","Singapore"
2019-12-05,"G Malla ","NEP",107,FALSE,NA,55,5,9,194.545454545455,1,"B","Bhutan","Kirtipur"
