"Date","Player","Country","Overs","Maidens","Runs","Wickets","Economy","Innings","Participation","Opposition","Ground"
2023-07-26,"Syazrul Idrus","MAS",4,1,8,7,2,1,"B","China","Kuala Lumpur"
2024-09-05,"H Bharadwaj","SGP",4,2,3,6,0.75,1,"B","Mongolia","Bangi"
2021-10-24,"P Aho","NGA",3.4,1,5,6,1.36363636363636,2,"B","Sierra Leone","Lagos"
2019-11-10,"DL Chahar","India",3.2,0,7,6,2.1,2,"B","Bangladesh","Nagpur"
2021-10-19,"DM Nakrani","UGA",4,1,7,6,1.75,1,"B","Lesotho","Kigali"
2012-09-18,"BAW Mendis","Sri Lanka",4,2,8,6,2,2,"B","Zimbabwe","Hambantota"
2023-12-16,"MA Baig","MWest Indies",4,0,9,6,2.25,2,"B","Rwanda","Benoni"
2022-04-10,"JJ Smit","Namibia",4,1,10,6,2.5,2,"B","Uganda","Windhoek"
2024-05-25,"Mustafizur Rahman","BAN",4,1,10,6,2.5,1,"B","United States of America","Prairie View"
2023-10-01,"A Bohara","NEP",3.4,0,11,6,3,2,"B","Maldives","Hangzhou"
2023-09-24,"Nasrulla Rana","Hong Kong",4,1,12,6,3,2,"B","Papau New Guinea","Kuala Lumpur"
2024-04-14,"PS Bais","Mex",4,0,14,6,3.5,2,"B","Costa Rica","Guacima"
2011-08-08,"BAW Mendis","Sri Lanka",4,1,16,6,4,2,"B","Australia","Pallekele"
2024-08-19,"W Nalisa","VAN",4,0,16,6,4,2,"B","Fiji","Apia (No 2)"
2024-12-14,"ML Castillo","Blz",4,0,16,6,4,1,"B","Panama","Buenos Aires"
2022-08-01,"OC McCoy","West Indies",4,1,17,6,4.25,1,"B","India","Basseterre"
2022-11-20,"PK Langat","Kenya",4,1,17,6,4.25,1,"B","Mali","Kigali"
2021-11-10,"H Fennell","Arg",4,0,18,6,4.5,2,"B","Panama","North Sound"
2024-09-25,"Waseem Yaqoob","LES",4,1,18,6,4.5,2,"B","Mali","Dar-es-Salaam"
2024-05-09,"Dawood Ahmadzai","Fran",4,0,21,6,5.25,2,"B","Malta","Dreux"
2024-11-28,"R Abdulkareem","NGA",4,0,22,6,5.5,2,"B","Botswana","Abuja"
2021-10-05,"JN Frylinck","Namibia",4,0,24,6,6,2,"B","United Arab Emirates","ICCA Dubai"
2017-02-01,"YS Chahal","India",4,0,25,6,6.25,2,"B","England","Bengaluru"
2024-02-02,"R Sakurano-Thomas","Japan",3.5,0,26,6,6.78260869565217,2,"B","Thailand","Bangkok"
2024-08-02,"Yasir Ali","ESP",4,0,28,6,7,1,"B","Croatia","Zagreb"
2021-03-03,"AC Agar","Australia",4,0,30,6,7.5,2,"B","New Zealand","Wellington"
2022-12-09,"YM Nkanya","TAN",4,2,2,5,0.5,2,"B","Cameroon","Kigali"
2014-03-31,"HMRKB Herath","Sri Lanka",3.3,2,3,5,0.857142857142857,2,"B","New Zealand","Chattogram"
2017-03-10,"Rashid Khan","Afghanistan",2,1,3,5,1.5,2,"B","Ireland","Greater Noida"
2023-10-20,"L Rossi","Arg",4,1,3,5,0.75,1,"B","Chile","Buenos Aires"
2024-12-03,"Sufiyan Muqeem","Pakistan",2.4,0,3,5,1.125,1,"B","Zimbabwe","Bulawayo"
2019-10-04,"P Arrighi","Arg",4,2,4,5,1,2,"B","Brazil","Cortijo Polo Club Pitch A"
2020-02-20,"Khizar Hayat","MAS",2,0,4,5,2,2,"B","Hong Kong","Kuala Lumpur"
2022-09-08,"B Kumar","India",4,1,4,5,1,2,"B","Afghanistan","Dubai (DICS)"
2024-09-25,"MA Baig","MWest Indies",1.5,0,4,5,2.18181818181818,1,"B","Cameroon","Dar-es-Salaam"
2021-07-24,"Aqib Iqbal","Aut",4,0,5,5,1.25,1,"B","Belgium","Waterloo"
2022-02-18,"Junaid Aziz","BHR",1.4,0,5,5,3,1,"B","Germany","Al Amerat"
2009-06-13,"Umar Gul","Pakistan",3,0,6,5,2,1,"B","New Zealand","The Oval"
2013-03-03,"Umar Gul","Pakistan",2.2,0,6,5,2.57142857142857,2,"B","South Africa","Centurion"
2019-08-29,"A Nanda","LUX",2.3,0,6,5,2.4,1,"B","Turkey","Ilfov County"
2019-09-06,"SL Malinga","Sri Lanka",4,1,6,5,1.5,2,"B","New Zealand","Pallekele"
2024-02-15,"Zain Ul Abidin","KSA",3,1,6,5,2,2,"B","Bhutan","Bangkok"
2024-05-11,"C Hinze","Japan",4,1,6,5,1.5,2,"B","Mongolia","Sano"
2024-05-08,"K Kato-Stafford","Japan",3.2,0,7,5,2.1,2,"B","Mongolia","Sano"
2024-08-03,"C Rumistrzewicz","ESP",2.5,1,7,5,2.47058823529412,1,"B","Croatia","Zagreb"
2024-10-22,"GM Mwendwa","Kenya",4,1,7,5,1.75,2,"B","Gambia","Nairobi (Gym)"
2021-10-22,"DM Nakrani","UGA",4,0,8,5,2,2,"B","Seychelles","Kigali"
2022-07-25,"M Shahbaz Butt","NOR",4,1,8,5,2,2,"B","Czech Rep.","Vantaa"
2024-12-08,"H Ssenyondo","UGA",4,2,8,5,2,1,"B","Nigeria","Rwanda"
2019-05-22,"C Viljoen","Namibia",4,0,9,5,2.25,1,"B","Botswana","Kampala"
2021-10-16,"KS Bagabena","GHA",4,1,9,5,2.25,1,"B","Seychelles","Rwanda"
2022-08-29,"S Lamichhane","NEP",4,0,9,5,2.25,1,"B","Kenya","Nairobi (Gym)"
2022-12-05,"SA Okpe","NGA",4,1,9,5,2.25,1,"B","Cameroon","Rwanda"
2023-02-25,"Mohammad Kamran","ESP",4,0,9,5,2.25,1,"B","Isle of Man","Cartagena"
2023-07-23,"KV Morea","Papau New Guinea",4,0,9,5,2.25,2,"B","Philippines","Port Moresby"
2024-01-30,"Ma Qiancheng","CHN",4,0,9,5,2.25,2,"B","Myanmar","Bangkok"
2024-06-03,"Fazalhaq Farooqi","Afghanistan",4,0,9,5,2.25,2,"B","Uganda","Providence"
2022-10-22,"SM Curran","England",3.4,0,10,5,2.72727272727273,1,"B","Afghanistan","Perth"
2022-11-22,"A Yon","STHEL",3,0,10,5,3.33333333333333,2,"B","Lesotho","Kigali"
2023-07-29,"KDA Lukies","PHI",4,1,10,5,2.5,2,"B","Vanuatu","Port Moresby"
2024-03-17,"SA Jumbe","TAN",3.3,0,10,5,2.85714285714286,2,"B","Nigeria","Accra"
2024-10-20,"J Coetzee","THA",3,0,10,5,3.33333333333333,1,"B","Indonesia","Gelephu"
2024-12-15,"L Bonner","Blz",3.5,0,10,5,2.60869565217391,1,"B","Brazil","Buenos Aires"
2019-11-16,"Karim Janat","Afghanistan",4,0,11,5,2.75,2,"B","West Indies","Lucknow"
2022-04-30,"LA Burns","ESP",4,0,11,5,2.75,1,"B","Guernsey","Almeria"
2022-11-25,"D Jakiel","MWest Indies",4,0,11,5,2.75,2,"B","Lesotho","Kigali"
2023-07-16,"Waqas Ahmad","MLT",3.3,0,11,5,3.14285714285714,1,"B","France","Marsa"
2024-06-08,"AJ Hosein","West Indies",4,0,11,5,2.75,2,"B","Uganda","Providence"
2024-10-09,"E Rukiriza","RWN",4,0,11,5,2.75,1,"B","Malawi","Blantyre"
2021-11-20,"Vraj Patel","Kenya",4,1,12,5,3,2,"B","Nigeria","Kigali"
2022-07-12,"SN Netravalkar","United States of America",4,1,12,5,3,2,"B","Singapore","Bulawayo"
2023-07-11,"SM Warnakulasuriya","Fran",4,1,12,5,3,2,"B","Luxembourg","Marsa"
2024-03-09,"Rizwan Butt","BHR",4,0,12,5,3,2,"B","Tanzania","Kuala Lumpur"
2024-08-04,"SJ Hughes-Pinan","ESP",3.2,1,12,5,3.6,2,"B","Croatia","Zagreb"
2024-11-23,"GE Ngegba","Sri LankaE",3.4,0,12,5,3.27272727272727,2,"B","Ivory Coast","Abuja"
2024-12-07,"Shoaib Rafiq","Mex",4,1,12,5,3,2,"B","Brazil","Buenos Aires"
2012-07-18,"Elias Sunny","BAN",4,1,13,5,3.25,2,"B","Ireland","Belfast"
2013-11-24,"Samiullah Shinwari","Afghanistan",4,0,13,5,3.25,2,"B","Kenya","Sharjah"
2020-02-15,"D Muhumuza","UGA",3.4,1,13,5,3.54545454545455,2,"B","Qatar","Doha"
2021-10-17,"MA Baig","MWest Indies",4,0,13,5,3.25,1,"B","Swaziland","Kigali"
2022-07-25,"Sahel Zadran","Aut",3.1,1,13,5,4.10526315789474,2,"B","Slovenia","Kerava"
2023-07-28,"BJ Currie","Scotland",4,1,13,5,3.25,2,"B","Ireland","Edinburgh"
2016-09-23,"Imad Wasim","Pakistan",4,0,14,5,3.5,1,"B","West Indies","Dubai (DICS)"
2021-08-14,"Hassan Mehmood","SWE",3.5,0,14,5,3.65217391304348,1,"B","Denmark","Brondby"
2023-07-28,"S di Bartolomeo","ITA",4,0,14,5,3.5,1,"B","Germany","Edinburgh"
2024-12-15,"H Fennell","Arg",4,0,14,5,3.5,1,"B","Cayman","Buenos Aires"
2018-12-22,"KMA Paul","West Indies",4,0,15,5,3.75,2,"B","Bangladesh","Mirpur"
2019-07-09,"D Ravu","Papau New Guinea",4,0,15,5,3.75,1,"B","Vanuatu","Apia (No 3)"
2019-10-10,"Aamir Kaleem","OMA",4,0,15,5,3.75,1,"B","Nepal","Al Amerat"
2022-07-31,"S Wickramasekara","CZK-R",3.1,1,15,5,4.73684210526316,1,"B","Bulgaria","Vantaa"
2020-03-01,"Haroon Arshad","Hong Kong",3.1,0,16,5,5.05263157894737,2,"B","Nepal","Bangkok"
2021-10-26,"A Gbla","Sri LankaE",4,0,16,5,4,1,"B","Nigeria","Lagos"
2021-11-13,"D Heyliger","Canada",4,0,16,5,4,1,"B","Argentina","North Sound"
2022-12-21,"Rizwan Butt","BHR",3.5,0,16,5,4.17391304347826,1,"B","Singapore","Bangi"
2023-06-23,"P Mishra","BUL",3.4,0,16,5,4.36363636363636,1,"B","Croatia","Sofia"
2023-11-02,"Muhammad Amir","MAS",3,0,16,5,5.33333333333333,2,"B","Singapore","Kirtipur"
2024-05-25,"S Bodha","GIBR",4,0,16,5,4,1,"B","Romania","Ilfov County"
2024-10-05,"Milind Kumar","United States of America",4,0,16,5,4,1,"B","Namibia","Windhoek"
2024-12-12,"Yasar Haroon","BRA",4,0,16,5,4,1,"B","Panama","Buenos Aires"
2019-06-01,"CW Perchard","JER",4,0,17,5,4.25,2,"B","Guernsey","Castel"
2019-07-13,"N Vanua","Papau New Guinea",4,2,17,5,4.25,2,"B","Vanuatu","Apia (No 2)"
2021-02-13,"D Pretorius","South Africa",4,0,17,5,4.25,1,"B","Pakistan","Lahore"
2021-10-20,"S Conteh","Sri LankaE",4,0,17,5,4.25,1,"B","Nigeria","Lagos"
2022-07-13,"Zaker Taqawi","SWE",4,0,17,5,4.25,1,"B","Croatia","Kerava"
2022-10-09,"R Sakurano-Thomas","Japan",4,0,17,5,4.25,2,"B","Indonesia","Sano"
2023-05-04,"Siraj Ullah Khadem","PORT",3.3,1,17,5,4.85714285714286,2,"B","Malta","Gibraltar"
2023-12-14,"Kuldeep Yadav","India",2.5,0,17,5,6,2,"B","South Africa","Johannesburg"
2024-08-21,"OE Taylor","COK",4,1,17,5,4.25,1,"B","Vanuatu","Apia (No 2)"
2024-11-10,"CV Varun","India",4,0,17,5,4.25,2,"B","South Africa","Gqeberha"
2024-12-06,"AR Ramjani","UGA",4,0,17,5,4.25,1,"B","Nigeria","Rwanda"
2010-12-26,"TG Southee","New Zealand",4,1,18,5,4.5,1,"B","Pakistan","Auckland"
2019-08-25,"AC Douglas","BER",2.2,0,18,5,7.71428571428571,1,"B","Cayman","Sandys Parish"
2022-09-18,"D Maisuria","BOT",4,0,18,5,4.5,2,"B","Ghana","Benoni"
2022-11-19,"S Shrivastava","OMA",4,0,18,5,4.5,2,"B","Bahrain","Al Amerat"
2023-02-28,"K Hinds","Bhm",4,0,18,5,4.5,1,"B","Cayman","Buenos Aires"
2024-08-28,"C Rumistrzewicz","ESP",4,0,18,5,4.5,2,"B","Finland","Castel"
2024-10-22,"Sikandar Raza","Zimbabwe",4,1,18,5,4.5,2,"B","Rwanda","Nairobi (Ruaraka)"
2010-05-19,"R McLaren","South Africa",3.5,0,19,5,4.95652173913043,2,"B","West Indies","North Sound"
2014-03-27,"Ahsan Malik","NED",4,0,19,5,4.75,1,"B","South Africa","Chattogram"
2019-07-09,"N Nipiko","VAN",3.4,0,19,5,5.18181818181818,2,"B","Papau New Guinea","Apia (No 3)"
2021-11-03,"F Damiao Couana","MOZ",4,0,19,5,4.75,2,"B","Cameroon","Rwanda"
2021-11-04,"A Zampa","Australia",4,0,19,5,4.75,1,"B","Bangladesh","Dubai (DICS)"
2022-02-22,"Ahmed Raza","United Arab Emirates",4,0,19,5,4.75,2,"B","Nepal","Al Amerat"
2022-07-14,"FJ Klaassen","NED",4,0,19,5,4.75,2,"B","Uganda","Bulawayo"
2022-09-14,"T Ritawa","COK",4,0,19,5,4.75,1,"B","Fiji","Port vila"
2023-10-03,"DL Brangman","BER",4,0,19,5,4.75,2,"B","Cayman","Hamilton"
2024-07-11,"Fayaz Khan","GER",4,0,19,5,4.75,1,"B","Norway","Krefeld"
2010-02-04,"NN Odhiambo","Kenya",4,0,20,5,5,1,"B","Scotland","Nairobi (Gym)"
2018-12-20,"Shakib Al Hasan","BAN",4,0,20,5,5,2,"B","West Indies","Mirpur"
2021-10-25,"Mujeeb Ur Rahman","Afghanistan",4,0,20,5,5,2,"B","Scotland","Sharjah"
2022-07-31,"Mosaddek Hossain","BAN",4,0,20,5,5,1,"B","Zimbabwe","Harare"
2024-03-09,"N Thushara","Sri Lanka",4,1,20,5,5,2,"B","Bangladesh","Sylhet"
2024-03-17,"LN Oluoch","Kenya",4,0,20,5,5,1,"B","Uganda","Accra"
2024-11-26,"Rizwan Butt","BHR",4,0,20,5,5,2,"B","Cambodia","Doha"
2020-11-27,"LH Ferguson","New Zealand",4,0,21,5,5.25,1,"B","West Indies","Auckland"
2022-03-31,"Karan KC","NEP",3.4,0,21,5,5.72727272727273,2,"B","Papau New Guinea","Kirtipur"
2023-05-18,"Saud Munir","DEN",4,0,21,5,5.25,1,"B","Norway","Brondby"
2024-06-10,"AN Lascu","ROM",4,0,21,5,5.25,1,"B","Portugal","Spinaceto"
