"Player","Country","CareerBatImpact","CareerBowlImpact","MatchesPlayed","TotalImpact","BatImpactperGame","BatImpactperGame_Z","BowlImpactperGame","BowlImpactperGame_Z","TotalImpactperGame","TotalImpactperGame_Z"
"A Athanaze ","WI",16.3678571428571,0,6,16.3678571428571,2.72797619047619,1.130442961939,0,-0.687008106444826,2.72797619047619,0.443434855494177
"A Balbirnie ","IRE",143.982995517028,0,57,143.982995517028,2.52601746521102,1.01279417739022,0,-0.687008106444826,2.52601746521102,0.325786070945396
"A Dananjaya ","SL",-3.033658008658,83.2217532467533,33,80.1880952380953,-0.091929030565394,-0.512261117138086,2.52187131050768,0.675058949808294,2.42994227994228,0.162797832670209
"A Flintoff ","ENG",6.58519736842105,20.1916666666667,7,26.7768640350877,0.940742481203007,0.0893100605279745,2.88452380952381,0.870928191715925,3.82526629072682,0.960238252243899
"A Khan ","ENG",-2.25,5.95,1,3.7,-2.25,-1.76942109470593,5.95,2.52659718377698,3.7,0.757176089071052
"A Martin ","WI",0,0,1,0,0,-0.458708894046135,0,-0.687008106444826,0,-1.14571700049096
"A Mishra ","IND",0,0,10,0,0,-0.458708894046135,0,-0.687008106444826,0,-1.14571700049096
"A Ndlovu ","ZIM",0.31330409356725,1.59999999999999,8,1.91330409356724,0.0391630116959063,-0.43589492193751,0.199999999999998,-0.578987760555019,0.239163011695904,-1.01488268249253
"A Nehra ","IND",-8.92975708502025,110.4,27,101.47024291498,-0.330731743889639,-0.651372952651308,4.08888888888889,1.52140785396904,3.75815714499925,0.870034901317731
"A Nel ","RSA",-3.25,8.65,2,5.4,-1.625,-1.40533437230043,4.325,1.64893187342228,2.7,0.243597501121855
"A Nortje ","RSA",-26.8333333333333,159.979761904762,38,133.146428571428,-0.706140350877193,-0.870063015500768,4.20999373433583,1.58681679043959,3.50385338345864,0.716753774938825
"A Shahzad ","ENG",-3.25,7.30833333333335,3,4.05833333333335,-1.08333333333333,-1.08979254621566,2.43611111111112,0.628739717796318,1.35277777777778,-0.461052828419347
"A Simelane ","RSA",-1.56071428571429,3.51666666666666,8,1.95595238095238,-0.195089285714286,-0.572355963825565,0.439583333333333,-0.449588387874518,0.244494047619047,-1.02194435170008
"A Symonds ","AUS",54.9127081855342,16.0858974358974,14,70.9986056214317,3.92233629896673,1.82620401357452,1.14899267399267,-0.066435176097103,5.07132897295941,1.75976883747742
"A Zampa ","AUS",-21.5934523809524,385.996739130434,96,364.403286749482,-0.224931795634921,-0.589740382426138,4.02079936594202,1.48463258486808,3.7958675703071,0.894892202441938
"AA Noffke ","AUS",0,0,2,0,0,-0.458708894046135,0,-0.687008106444826,0,-1.14571700049096
"AAP Atkinson ","ENG",-3.36538461538461,9.14558823529412,4,5.7802036199095,-0.841346153846154,-0.948825635745844,2.28639705882353,0.547878899232968,1.44505090497738,-0.400946736512876
"AB Agarkar ","IND",0.1138888888889,12.475,3,12.5888888888889,0.0379629629629667,-0.436593996833355,4.15833333333333,1.55891491851411,4.1962962962963,1.12232092168076
"AB Barath ","WI",-0.797368421052633,0,2,-0.797368421052633,-0.398684210526316,-0.690957898022695,0,-0.687008106444826,-0.398684210526316,-1.37796600446752
"AB Dinda ","IND",0.3,53.5916666666667,9,53.8916666666667,0.0333333333333333,-0.439290935517842,5.95462962962963,2.52909765474665,5.98796296296297,2.08980671922881
"AB de Villiers ","RSA",209.45469408393,0,76,209.45469408393,2.75598281689382,1.14675790724785,0,-0.687008106444826,2.75598281689382,0.459749800803024
"AC Agar ","AUS",0.670911529642233,169.920833333333,47,170.591744862975,0.0142747133966432,-0.450393320263956,3.61533687943262,1.26564159467764,3.62961159282926,0.81524827441368
"AC Botha ","IRE",-4.29826203208557,30.55,7,26.2517379679144,-0.614037433155081,-0.816409496400884,4.36428571428571,1.67015015565064,3.75024828113063,0.853740659249755
"AC Gilchrist ","AUS",40.4453236418754,0,13,40.4453236418754,3.11117874168272,1.35367329935694,0,-0.687008106444826,3.11117874168272,0.666665192912115
"AC Thomas ","RSA",0,0,1,0,0,-0.458708894046135,0,-0.687008106444826,0,-1.14571700049096
"AC Voges ","AUS",18.4396421107628,8.95,7,27.3896421107628,2.63423458725183,1.07583484502541,1.27857142857143,0.00355053335073581,3.91280601582326,1.07938537837615
"ACL Richards ","WI",-0.533333333333333,0,1,-0.533333333333333,-0.533333333333333,-0.769396230498826,0,-0.687008106444826,-0.533333333333333,-1.45640433694365
"AD Galiem ","RSA",0,0,1,0,0,-0.458708894046135,0,-0.687008106444826,0,-1.14571700049096
