"Player","Country","CareerBatImpact","CareerBowlImpact","MatchesPlayed","TotalImpact","BatImpactperGame","BatImpactperGame_Z","BowlImpactperGame","BowlImpactperGame_Z","TotalImpactperGame","TotalImpactperGame_Z"
"Rashid Khan ","AFG",40.0106628719615,472.766666666666,78,512.777329538627,0.512957216307198,-0.159891435454878,6.0611111111111,2.58660848704909,6.5740683274183,2.42671705159421
"SR Watson ","AUS",218.146918456903,143.23414232826,58,361.381060785163,3.76115376649833,1.73230894164581,2.46955417807344,0.64680237610075,6.23070794457177,2.37911131774656
"Kuldeep Yadav ","IND",-0.157832080200503,238.475,40,238.317167919799,-0.00394580200501258,-0.461007476636961,5.96187499999999,2.53301089181418,5.95792919799498,2.07200341517722
"Shakib Al Hasan ","BAN",237.119338542117,421.382159831015,112,658.501498373132,2.1171369512689,0.774605431507565,3.76234071277692,1.34503861930253,5.87947766404582,2.1196440508101
"PW Hasaranga ","SL",49.336939284524,379.608333333333,73,428.945272617857,0.675848483349643,-0.0650009594133378,5.20011415525113,2.12158254213876,5.87596263860078,2.05658158272542
"NT Tilak Varma ","IND",129.3234195079,10.1,24,139.4234195079,5.38847581282916,2.6802871018807,0.420833333333333,-0.459715295301687,5.8093091461625,2.22057180657901
"BAW Mendis ","SL",-7.09285714285714,220.066666666666,37,212.973809523809,-0.191698841698842,-0.570380898787034,5.94774774774774,2.52538073844038,5.7560489060489,1.95499983965335
"Imran Tahir ","RSA",-0.583333333333333,195.044565217391,34,194.461231884058,-0.017156862745098,-0.468703431523933,5.73660485933503,2.41134209924781,5.71944799658993,1.94263866772388
"Shahid Afridi ","PAK",212.272791307329,315.354411764705,94,527.627203072034,2.25822118412052,0.85679246498283,3.35483416770963,1.12494362954989,5.61305535183015,1.98173609453272
"SA Yadav ","IND",426.221040400648,7.7,78,433.921040400648,5.46437231282882,2.72449975456378,0.0987179487179487,-0.6336903716146,5.56309026154677,2.09080938294918
"Abbas Afridi ","PAK",12.1687271062271,115.639291803678,24,127.808018909905,0.507030296092796,-0.163344096182591,4.81830382515325,1.91536612253138,5.32533412124605,1.75202202634879
"JP Faulkner ","AUS",13.669336300954,109.883532695375,24,123.552868996329,0.569555679206416,-0.126920637294613,4.57848052897395,1.78583714550277,5.14803620818037,1.65891650820816
"V Kohli ","IND",608.061061987541,4.37916666666667,119,612.440228654208,5.10975682342472,2.5179224885616,0.0367997198879552,-0.667132514090101,5.14655654331267,1.8507899744715
"KP Pietersen ","ENG",187.838796779854,-1.15,37,186.688796779854,5.07672423729336,2.49867972693417,-0.0310810810810811,-0.703795052089864,5.04564315621227,1.7948846748443
"JJ Bumrah ","IND",-9.50555555555555,341.934022556391,66,332.428467000835,-0.144023569023569,-0.542608204758028,5.18081852358168,2.11116093810327,5.03679495455811,1.56855273334525
"HH Pandya ","IND",304.891175513661,239.915476190476,109,544.806651704136,2.79716674783175,1.1707491431374,2.20105941459152,0.501787889996151,4.99822616242327,1.67253703313355
"CH Morris ","RSA",5.61008527758021,108.413852813853,23,114.023938091433,0.243916751199139,-0.316617933271908,4.71364577451534,1.85884012838108,4.95756252571448,1.54222219510918
"YBK Jaiswal ","IND",110.768334808357,-1.8,22,108.968334808357,5.03492430947075,2.47432964898582,-0.0818181818181818,-0.731198247945202,4.95310612765257,1.74313140104061
"JH Kallis ","RSA",83.3885531432065,35.1,24,118.488553143207,3.47452304763361,1.56533543929031,1.4625,0.1028906728744,4.93702304763361,1.66822611216471
"Ravi Bishnoi ","IND",4.58749999999998,196.491666666666,41,201.079166666666,0.111890243902439,-0.39352849057159,4.79247967479674,1.90141845426228,4.90436991869918,1.50788996369069
"GP Swann ","ENG",-2.34639804639806,193.391666666666,39,191.045268620268,-0.0601640524717451,-0.493756786319847,4.95876068376068,1.99122711477823,4.89859663128893,1.49747032845839
"PD Salt ","ENG",189.428245333898,0,39,189.428245333898,4.85713449574098,2.37076019209308,0,-0.687008106444826,4.85713449574098,1.68375208564826
"D Pretorius ","RSA",44.8615995115995,100.502578580839,30,145.364178092439,1.49538665038665,0.412411784783003,3.35008595269465,1.1223791104085,4.8454726030813,1.5347908951915
"Imad Wasim ","PAK",58.8245778685507,275.433333333333,69,334.257911201884,0.852530114036967,0.0379229379085921,3.99178743961352,1.4689631932834,4.84431755365049,1.506886131192
"F du Plessis ","RSA",215.799494153613,5.9,46,221.699494153613,4.69129335116551,2.27415129806355,0.128260869565217,-0.617734188972014,4.81955422073072,1.65641710909154
"JA Duffy ","NZL",-5.025,130.257575757576,26,125.232575757576,-0.193269230769231,-0.571295711282297,5.00990675990676,2.01885119895927,4.81663752913753,1.44755548767697
"Arshdeep Singh ","IND",5.23315018315018,272.858208763014,59,278.091358946164,0.088697460731359,-0.407039185624742,4.62471540276295,1.81080868079707,4.71341286349431,1.40376949517233
"Saeed Ajmal ","PAK",-7.30476190476191,303.385996364428,63,296.081234459667,-0.115948601662888,-0.526253448201241,4.81565073594331,1.91393318446071,4.69970213428042,1.38767973625947
"DA Warner ","AUS",500.026603212035,0,107,500.026603212035,4.67314582441154,2.26357966040656,0,-0.687008106444826,4.67314582441154,1.57657155396173
"KL Rahul ","IND",314.553137127259,0,68,314.553137127259,4.62578142834205,2.23598806404871,0,-0.687008106444826,4.62578142834205,1.54897995760388
"AJ Finch ","AUS",475.936768021487,-6.1,102,469.836768021487,4.6660467453087,2.25944417169832,-0.0598039215686274,-0.719308307911877,4.60624282374007,1.54013586378644
"BB McCullum ","NZL",312.414113745609,0,68,312.414113745609,4.59432520214131,2.21766359317404,0,-0.687008106444826,4.59432520214131,1.53065548672921
"DL Vettori ","NZL",4.22576447245564,146.979385964912,33,151.205150437368,0.128053468862292,-0.384112785612973,4.45392078681552,1.71856221334328,4.58197425567781,1.3344494277303
"GJ Maxwell ","AUS",451.040820825285,97.0108974358969,120,548.051718261182,3.75867350687737,1.73086409429204,0.808424145299141,-0.250376827440396,4.56709765217651,1.48048726685165
"MR Marsh ","AUS",262.582169026781,43.0000000000001,67,305.582169026781,3.91913685114599,1.82434021122162,0.64179104477612,-0.340375653216336,4.56092789592211,1.48396455800528
"LH Ferguson ","NZL",-15.8214285714286,193.634782608695,39,177.813354037267,-0.405677655677656,-0.695031850860253,4.96499442586398,1.99459396966917,4.55931677018633,1.29956211880892
"Umar Gul ","PAK",-4.33315719174353,256.90516983017,56,252.572012638426,-0.0773778069954203,-0.503784465463556,4.58759231839588,1.79075843872794,4.51021451140046,1.28697397326438
"SB Styris ","NZL",66.8070815689588,63.825,29,130.632081568959,2.30369246789513,0.883281250059738,2.20086206896552,0.501681303282249,4.50455453686065,1.38496255334199
"Mohammad Hafeez ","PAK",299.900684879401,211.632142857142,114,511.532827736544,2.63070776210001,1.07378033268938,1.85642230576441,0.31564879148631,4.48713006786442,1.38942912417569
"Harbhajan Singh ","IND",13.998051948052,102.658333333333,26,116.656385281385,0.538386613386614,-0.14507782611825,3.94839743589744,1.44552817723555,4.48678404928405,1.3004503511173
"DJ Malan ","ENG",276.756901337365,0.2,62,276.956901337365,4.46382098931234,2.14163983139962,0.00322580645161291,-0.685265842801442,4.46704679576395,1.45637398859818
"MG Johnson ","AUS",4.04516733266734,129.804347826087,30,133.849515158754,0.134838911088911,-0.380160002540394,4.3268115942029,1.64991031858433,4.46165050529181,1.26975031604393
"Babar Azam ","PAK",530.368557573539,0,119,530.368557573539,4.45687863507176,2.13759564099765,0,-0.687008106444826,4.45687863507176,1.45058753455282
"Yuvraj Singh ","IND",164.353540891963,85.1666666666667,56,249.52020755863,2.93488465878506,1.25097516364223,1.52083333333333,0.13439660709226,4.4557179921184,1.38537177073449
"IK Pathan ","IND",19.6657738095238,82.8083333333333,23,102.474107142857,0.855033643892339,0.0393813410757712,3.60036231884058,1.25755380860414,4.45539596273292,1.29693514967991
"Q de Kock ","RSA",387.399420234026,0,87,387.399420234026,4.45286689924167,2.1352586493984,0,-0.687008106444826,4.45286689924167,1.44825054295357
"RR Rossouw ","RSA",124.566707447142,0,28,124.566707447142,4.44881098025508,2.13289591939813,0,-0.687008106444826,4.44881098025508,1.4458878129533
"Mohammad Nabi ","AFG",227.008696109103,195.573809523809,95,422.582505632912,2.38956522220108,0.933305457514435,2.05867167919799,0.424884027857773,4.44823690139907,1.35818948537221
"Mujeeb Ur Rahman ","AFG",-9.40512820512822,209.375,45,199.969871794871,-0.209002849002849,-0.580461153673109,4.65277777777777,1.82596521807502,4.44377492877492,1.24550406440191
"MJ Guptill ","NZL",511.313066379126,-1.8,115,509.513066379126,4.44620057720979,2.13137525845586,-0.0156521739130435,-0.695461872644898,4.43054840329675,1.43591338581096
"TM Head ","AUS",156.283784097601,-1.7,35,154.583784097601,4.46525097421716,2.14247285302696,-0.0485714285714286,-0.713241619018065,4.41667954564574,1.42923123400889
"FH Allen ","NZL",202.12140209839,0,46,202.12140209839,4.39394352387805,2.10093349962366,0,-0.687008106444826,4.39394352387805,1.41392539317884
"DW Steyn ","RSA",-13.95,210.649122807017,45,196.699122807017,-0.31,-0.639295908359262,4.68109161793372,1.84125757211059,4.37109161793372,1.20196166375133
"AK Markram ","RSA",217.665067026623,27.0500000000001,56,244.715067026623,3.88687619690398,1.80554712983661,0.483035714285715,-0.426119681773458,4.36991191118969,1.37942744806315
"GF Linde ","RSA",23.1242673992674,72.9416666666667,22,96.0659340659341,1.05110306360306,0.153599376894051,3.31553030303031,1.10371554426255,4.36663336663337,1.2573149211566
"JR Hazlewood ","AUS",-8.32261904761905,238.611363636363,53,230.288744588744,-0.157030548068284,-0.550185274148088,4.5021012006861,1.74458453820035,4.34507065261781,1.19439926405226
"MJ Henry ","NZL",-4.05196078431373,112.658333333333,25,108.60637254902,-0.162078431372549,-0.553125861807824,4.50633333333334,1.74687032036238,4.34425490196079,1.19374445855455
"CH Gayle ","WI",282.291688809887,55.875,78,338.166688809887,3.61912421551137,1.64957122372011,0.716346153846155,-0.300108309868348,4.33547036935752,1.34946291385176
"JC Buttler ","ENG",572.198207359976,0,132,572.198207359976,4.33483490424224,2.06650043788108,0,-0.687008106444826,4.33483490424224,1.37949233143625
"D Wiese ","RSA",12.6489364801865,73.9226190476191,20,86.5715555278056,0.632446824009324,-0.0902841080472209,3.69613095238095,1.30927861320627,4.32857777639028,1.21899450515904
"RD Gaikwad ","IND",95.1749682410187,0,22,95.1749682410187,4.3261349200463,2.06143235991167,0,-0.687008106444826,4.3261349200463,1.37442425346684
"Al-Amin Hossain ","BAN",-3.78333333333333,115.720168067227,26,111.936834733894,-0.14551282051282,-0.543475751467723,4.45077569489334,1.71686354375684,4.30526287438052,1.17338779228911
"Hasan Ali ","PAK",26.7636904761905,187.919401109726,50,214.683091585916,0.53527380952381,-0.146891155007689,3.75838802219452,1.342903764283,4.29366183171833,1.19601260927531
"E Lewis ","WI",270.244900502197,0,63,270.244900502197,4.28960159527298,2.0401502823512,0,-0.687008106444826,4.28960159527298,1.35314217590637
"MR Adair ","IRE",23.9277017207938,190.392061923583,50,214.319763644377,0.478554034415876,-0.179932622231088,3.80784123847167,1.36961353192111,4.28639527288754,1.18968090969002
"NT Ellis ","AUS",-16.1155844155844,118.845454545455,24,102.72987012987,-0.671482683982684,-0.849873581347419,4.95189393939394,1.98751837427008,4.28041125541126,1.13764479292266
"C Munro ","NZL",284.296217243409,-6.85,65,277.446217243409,4.3737879575909,2.08919210111532,-0.105384615384615,-0.743926519471379,4.26840334220629,1.34526558164394
"Mohammad Rizwan ","PAK",425.249909955298,0,100,425.249909955298,4.25249909955298,2.01853664065558,0,-0.687008106444826,4.25249909955298,1.33152853421076
"SW Tait ","AUS",-8.79166666666667,97.919696969697,21,89.1280303030303,-0.418650793650794,-0.70258920651458,4.66284271284272,1.83140130691039,4.24419191919192,1.12881210039581
"DL Chahar ","IND",9.44632352941177,96.5793290043291,25,106.025652533741,0.377852941176471,-0.238594911799385,3.86317316017316,1.39949839852582,4.24102610134963,1.16090348672644
"AR Patel ","IND",74.4421516431597,217.680072463768,69,292.122224106927,1.07887176294434,0.169775720459861,3.15478365889518,1.01689600376204,4.23365542183953,1.1866717242219
"SP Narine ","WI",10.2146951088128,203.15606060606,51,213.370755714873,0.200288139388486,-0.342033290515496,3.98345216874628,1.46446129907258,4.18374030813477,1.12242800855708
"Shaheen Shah Afridi ","PAK",1.24532550782547,315.081159420289,76,316.326484928115,0.016385861945072,-0.449163494415143,4.14580472921433,1.55214819776186,4.1621905911594,1.10298470334671
"AJ Tye ","AUS",-2.51689282939282,131.013175230566,31,128.496282401174,-0.0811900912707362,-0.50600526880224,4.22623145905053,1.59558681364032,4.14504136777979,1.08958154483808
"AD Hales ","ENG",306.639127661944,0,74,306.639127661944,4.14377199543167,1.95519888869371,0,-0.687008106444826,4.14377199543167,1.26819078224889
"MJ Santner ","NZL",58.8416697379772,366.014878104351,103,424.856547842328,0.571278346970653,-0.125917116558494,3.55354250586749,1.23226634664489,4.12482085283814,1.10634923008639
"Fazalhaq Farooqi ","AFG",-6.03333333333333,154.503873319663,36,148.470539986329,-0.167592592592593,-0.556338074424498,4.29177425887952,1.63098659318089,4.12418166628693,1.07464851875639
"R Ashwin ","IND",25.1631764069264,229.460144927536,62,254.623321334462,0.405857683982684,-0.222281063767188,3.70097007947638,1.31189223411953,4.10682776345907,1.08961117035234
"BM Duckett ","ENG",82.0994413458843,0,20,82.0994413458843,4.10497206729422,1.9325964268295,0,-0.687008106444826,4.10497206729422,1.24558832038467
"PJ Cummins ","AUS",14.8762987012987,214.7,56,229.576298701298,0.265648191094619,-0.303958527312392,3.83392857142857,1.38370334556784,4.09957676252318,1.07974481825545
"ST Finn ","ENG",-2.78333333333334,88.45,21,85.6666666666667,-0.132539682539683,-0.535918395813396,4.21190476190476,1.5878489397346,4.07936507936508,1.0519305439212
"Shubman Gill ","IND",85.4722653119899,0,21,85.4722653119899,4.07010787199952,1.91228668187886,0,-0.687008106444826,4.07010787199952,1.22527857543403
"KOK Williams ","WI",-4.68214285714285,106.368181818182,25,101.686038961039,-0.187285714285714,-0.567810081034388,4.25472727272727,1.61097745188918,4.06744155844156,1.0431673708548
"DP Conway ","NZL",203.084632023473,0,50,203.084632023473,4.06169264046947,1.90738448337316,0,-0.687008106444826,4.06169264046947,1.22037637692834
"DJ Hooda ","IND",52.8955698856122,32.2102941176471,21,85.1058640032593,2.51883666121963,1.00861108076708,1.53382352941177,0.141412634460103,4.0526601906314,1.15002371522719
"KS Williamson ","NZL",342.899450828987,12.65,88,355.549450828987,3.89658466851121,1.81120269080788,0.14375,-0.609368482836526,4.04033466851121,1.20183420797135
"RR Hendricks ","RSA",331.003959671303,-8.51764705882355,80,322.486312612479,4.13754949589128,1.95157404155319,-0.106470588235294,-0.744513055286166,4.03107890765599,1.20706098626702
"J Botha ","RSA",28.1095779220779,128.897727272727,39,157.007305194805,0.720758408258408,-0.0388391876317231,3.30506993006993,1.09806587873597,4.02582833832833,1.05922669110425
"P Nissanka ","SL",237.437423060535,0,59,237.437423060535,4.02436310272093,1.88563858089672,0,-0.687008106444826,4.02436310272093,1.19863047445189
"TG Southee ","NZL",29.4115338164251,448.66840575519,119,478.079939571615,0.247155746356514,-0.314731093062731,3.77032273743857,1.34934972462679,4.01747848379508,1.03461863156406
"TA Boult ","NZL",-7.41304112554114,231.933860342556,56,224.520819217014,-0.132375734384663,-0.535822889659148,4.14167607754563,1.5499183058553,4.00930034316097,1.01409541619615
"JO Holder ","WI",81.330843347511,215.275274751048,74,296.606118098559,1.09906545064204,0.181539326167276,2.90912533447362,0.884215517888404,4.00819078511567,1.06575484405568
"JP Duminy ","RSA",267.642897979098,48.1309523809525,79,315.773850360051,3.38788478454555,1.5148652933021,0.609252561784209,-0.357949744153915,3.99713734632976,1.15691554914818
"Mohammad Nawaz (3) ","PAK",56.295784442166,179.375,59,235.670784442166,0.954165838002814,0.0971296860974482,3.04025423728813,0.955038465079274,3.99442007529094,1.05216815117672
"Shadab Khan ","PAK",90.7150132525712,311.45036231884,101,402.165375571411,0.89816844804526,0.0645090362207948,3.08366695365188,0.978485748267417,3.98183540169714,1.04299478448821
"Naveen-ul-Haq ","AFG",-16.4797008547009,167.439285714286,38,150.959584859585,-0.433676338281601,-0.711342168589761,4.4062969924812,1.69284051966039,3.9726206541996,0.981498351070625
"MN Samuels ","WI",205.887693481244,55.125,66,261.012693481244,3.11951050729158,1.35852687572875,0.835227272727273,-0.235900411961819,3.95473778001885,1.12262646376693
"MA Wood ","ENG",-2.55277777777776,144.915616246498,36,142.362838468721,-0.07091049382716,-0.500017004896833,4.02543378462496,1.48713564241372,3.9545232907978,0.987118637516887
"SN Thakur ","IND",13.6547619047619,84.9416666666667,25,98.5964285714286,0.546190476190476,-0.140531773589674,3.39766666666667,1.14807753631321,3.94385714285714,1.00754576272353
"GC Smith ","RSA",138.352714835694,-12.15,32,126.202714835694,4.32352233861543,2.05991042997538,-0.3796875,-0.89207798184501,3.94383483861543,1.16783244813037
"DJ Hussey ","AUS",78.8076595362677,74.9262820512821,39,153.73394158755,2.02070921887866,0.718432540251632,1.92118671926364,0.350628163224001,3.9418959381423,1.06906070347563
"RJ Peterson ","RSA",4.2051030353662,77.6333333333333,21,81.8384363686995,0.200243001684105,-0.342059584977648,3.6968253968254,1.30965368385172,3.8970683985095,0.967594098874067
"TH David ","AUS",155.408602852145,0,40,155.408602852145,3.88521507130363,1.80457945979607,0,-0.687008106444826,3.88521507130363,1.11757135335125
