Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
Rashid Khan ,AFG,40.01066287,472.7666667,78,512.7773295,0.512957216,-0.146431036,6.061111111,2.511913596,6.574068327,2.365482559
SR Watson ,AUS,218.1469185,143.2341423,58,361.3810608,3.761153766,1.747367453,2.469554178,0.623807476,6.230707945,2.37117493
Kuldeep Yadav ,IND,-0.15783208,238.475,40,238.3171679,-0.003945802,-0.447801394,5.961875,2.459744491,5.957929198,2.011943097
Shakib Al Hasan ,BAN,237.1193385,421.3821598,112,658.5014984,2.117136951,0.788855087,3.762340713,1.303434227,5.879477664,2.092289314
PW Hasaranga ,SL,49.33693928,379.6083333,73,428.9452726,0.675848483,-0.051460418,5.200114155,2.059281589,5.875962639,2.007821171
NT Tilak Varma ,IND,129.3234195,10.1,24,139.4234195,5.388475813,2.696146256,0.420833333,-0.453219127,5.809309146,2.242927129
BAW Mendis ,SL,-7.092857143,220.0666667,37,212.9738095,-0.191698842,-0.557267191,5.947747748,2.452317698,5.756048906,1.895050507
Imran Tahir ,RSA,-0.583333333,195.0445652,34,194.4612319,-0.017156863,-0.455503849,5.736604859,2.341318433,5.719447997,1.885814584
Shahid Afridi ,PAK,212.2727913,315.3544118,94,527.6272031,2.258221184,0.871111534,3.354834168,1.08920524,5.613055352,1.960316774
SA Yadav ,IND,426.2210404,7.7,78,433.9210404,5.464372313,2.74039625,0.098717949,-0.622557394,5.563090262,2.117838855
JP Faulkner ,AUS,13.6693363,109.8835327,24,123.552869,0.569555679,-0.113432392,4.578480529,1.732484527,5.148036208,1.619052135
V Kohli ,IND,608.061062,4.379166667,119,612.4402287,5.109756823,2.533644513,0.03679972,-0.655108232,5.146556543,1.878536281
KP Pietersen ,ENG,187.8387968,-1.15,37,186.6887968,5.076724237,2.514385499,-0.031081081,-0.690793635,5.045643156,1.823591864
JJ Bumrah ,IND,-9.505555556,341.9340226,66,332.428467,-0.144023569,-0.52947104,5.180818524,2.049137743,5.036794955,1.519666703
HH Pandya ,IND,304.8911755,239.9154762,109,544.8066517,2.797166748,1.185333373,2.201059415,0.482657937,4.998226162,1.66799131
CH Morris ,RSA,5.610085278,108.4138528,23,114.0239381,0.243916751,-0.303289902,4.713645775,1.803541824,4.957562526,1.500251922
YBK Jaiswal ,IND,110.7683348,-1.8,22,108.9683348,5.034924309,2.490014856,-0.081818182,-0.717466477,4.953106128,1.772548379
JH Kallis ,RSA,83.38855314,35.1,24,118.4885531,3.474523048,1.580252929,1.4625,0.094392186,4.937023048,1.674645115
Ravi Bishnoi ,IND,4.5875,196.4916667,41,201.0791667,0.111890244,-0.380265416,4.792479675,1.844985346,4.904369919,1.46471993
GP Swann ,ENG,-2.346398046,193.3916667,39,191.0452686,-0.060164052,-0.480578363,4.958760684,1.932400413,4.898596631,1.45182205
TM Head ,AUS,158.1681095,-1.7,32,156.4681095,4.942753422,2.436276394,-0.053125,-0.702382274,4.889628422,1.733894119
PD Salt ,ENG,189.4282453,0,39,189.4282453,4.857134496,2.386357926,0,-0.674454097,4.857134496,1.711903829
D Pretorius ,RSA,44.86159951,100.5025786,30,145.3641781,1.49538665,0.426355539,3.350085953,1.086709071,4.845472603,1.51306461
Imad Wasim ,PAK,58.82457787,275.4333333,69,334.2579112,0.852530114,0.051550407,3.99178744,1.424055945,4.844317554,1.475606352
F du Plessis ,RSA,215.7994942,5.9,46,221.6994942,4.691293351,2.289667439,0.12826087,-0.607026478,4.819554221,1.68264096
JA Duffy ,NZL,-5.025,109.9159091,22,104.8909091,-0.228409091,-0.578670395,4.996177686,1.952070788,4.767768595,1.373400393
Arshdeep Singh ,IND,5.233150183,272.8582088,59,278.0913589,0.088697461,-0.393787522,4.624715403,1.756790517,4.713412863,1.363002995
MR Marsh ,AUS,234.4225101,43,59,277.4225101,3.973262883,1.871033592,0.728813559,-0.291311809,4.702076442,1.579721783
Saeed Ajmal ,PAK,-7.304761905,303.3859964,63,296.0812345,-0.115948602,-0.513102471,4.815650736,1.857166532,4.699702134,1.344064061
DA Warner ,AUS,500.0266032,0,107,500.0266032,4.673145824,2.279086872,0,-0.674454097,4.673145824,1.604632775
